cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Asphyxiation (T71),no.,0,0,0,1645,430,2075,NA,T71,NA,NA,NA
Effects of other deprivation (T73),no.,0,0,0,6,2,8,NA,T73,NA,NA,NA
Maltreatment syndromes (T74),no.,0,0,0,0,1,1,NA,T74,NA,NA,NA
Effects of other external causes (T75),no.,0,0,0,322,104,426,NA,T75,NA,NA,NA
"Adverse effects, not elsewhere classified (T78)",no.,0,0,0,19,13,32,NA,T78,NA,NA,NA
Certain early complications of trauma (T79),no.,0,0,0,163,157,320,NA,T79,NA,NA,NA
"Certain early complications of trauma, not elsewhere classified (T79)",no.,0,0,0,163,157,320,NA,T79,NA,NA,NA
"Complications of surgical and medical care, not elsewhere classified (T80-T88)",no.,0,0,0,536,427,963,NA,T80-T88,NA,NA,NA
"Complications following infusion, transfusion and therapeutic injection (T80)",no.,0,0,0,8,8,16,NA,T80,NA,NA,NA
"Complications of procedures, not elsewhere classified (T81)",no.,0,0,0,205,201,406,NA,T81,NA,NA,NA
"Complications of cardiac and vascular prosthetic devices, implants and grafts (T82)",no.,0,0,0,106,61,167,NA,T82,NA,NA,NA
"Complications of genitourinary prosthetic devices, implants and grafts (T83)",no.,0,0,0,45,13,58,NA,T83,NA,NA,NA
"Complications of internal orthopaedic prosthetic devices, implants and grafts (T84)",no.,0,0,0,24,33,57,NA,T84,NA,NA,NA
"Complications of other internal prosthetic devices, implants and grafts (T85)",no.,0,0,0,23,25,48,NA,T85,NA,NA,NA
Failure and rejection of transplanted organs and tissues (T86),no.,0,0,0,89,60,149,NA,T86,NA,NA,NA
Complications peculiar to reattachment and amputation (T87),no.,0,0,0,13,5,18,NA,T87,NA,NA,NA
"Other complications of surgical and medical care, not elsewhere classified (T88)",no.,0,0,0,23,21,44,NA,T88,NA,NA,NA
"Sequelae of injuries, of poisoning and of other consequences of external causes (T90-T98)",no.,0,0,0,483,221,704,NA,T90-T98,NA,NA,NA
Sequelae of injuries of head (T90),no.,0,0,0,191,43,234,NA,T90,NA,NA,NA
Sequelae of injuries of neck and trunk (T91),no.,0,0,0,89,33,122,NA,T91,NA,NA,NA
Sequelae of injuries of upper limb (T92),no.,0,0,0,7,8,15,NA,T92,NA,NA,NA
Sequelae of injuries of lower limb (T93),no.,0,0,0,50,62,112,NA,T93,NA,NA,NA
Sequelae of injuries involving multiple and unspecified body regions (T94),no.,0,0,0,35,16,51,NA,T94,NA,NA,NA
"Sequelae of burns, corrosions and frostbite (T95)",no.,0,0,0,4,2,6,NA,T95,NA,NA,NA
"Sequelae of poisoning by drugs, medicaments and biological substances (T96)",no.,0,0,0,1,4,5,NA,T96,NA,NA,NA
Sequelae of toxic effects of substances chiefly nonmedicinal as to source (T97),no.,0,0,0,52,8,60,NA,T97,NA,NA,NA
Sequelae of other and unspecified effects of external causes (T98),no.,0,0,0,54,45,99,NA,T98,NA,NA,NA
CHAPTER XX External causes of morbidity and mortality (V01-Y98),no.,8596,4711,13307,15083,9581,24664,1.9,V01-Y98,1.754653327128897,2.0337507960093397,1.853460584654693
Transport accidents (V01-V99),no.,1115,333,1448,1145,338,1483,1,V01-V99,1.0269058295964126,1.015015015015015,1.024171270718232
Pedestrian injured in transport accident (V01-V09),no.,150,72,222,153,73,226,1,V01-V09,1.02,1.0138888888888888,1.018018018018018
Pedestrian injured in collision with pedal cycle (V01),no.,1,2,3,1,2,3,1,V01,1,1,1
Pedestrian injured in collision with two- or three-wheeled motor vehicle (V02),no.,3,0,3,3,0,3,1,V02,1,NA,1
"Pedestrian injured in collision with car, pick-up truck or van (V03)",no.,100,54,154,101,54,155,1,V03,1.01,1,1.0064935064935066
Pedestrian injured in collision with heavy transport vehicle or bus (V04),no.,9,7,16,10,7,17,1.1,V04,1.1111111111111112,1,1.0625
Pedestrian injured in collision with railway train or railway vehicle (V05),no.,9,4,13,9,4,13,1,V05,1,1,1
Pedestrian injured in collision with other nonmotor vehicle (V06),no.,0,0,0,0,0,0,NA,V06,NA,NA,NA
Pedestrian injured in other and unspecified transport accidents (V09),no.,28,5,33,29,6,35,1.1,V09,1.0357142857142858,1.2,1.0606060606060606
Pedal cyclist injured in transport accident (V10-V19),no.,35,3,38,36,4,40,1.1,V10-V19,1.0285714285714285,1.3333333333333333,1.0526315789473684
Pedal cyclist injured in collision with pedestrian or animal (V10),no.,1,0,1,2,0,2,2,V10,2,NA,2
Pedal cyclist injured in collision with other pedal cycle (V11),no.,1,0,1,1,0,1,1,V11,1,NA,1
Pedal cyclist injured in collision with two- or three-wheeled motor vehicle (V12),no.,0,0,0,0,0,0,NA,V12,NA,NA,NA
"Pedal cyclist injured in collision with car, pick-up truck or van (V13)",no.,15,1,16,15,1,16,1,V13,1,1,1
Pedal cyclist injured in collision with heavy transport vehicle or bus (V14),no.,4,1,5,4,1,5,1,V14,1,1,1
Pedal cyclist injured in collision with railway train or railway vehicle (V15),no.,0,0,0,0,0,0,NA,V15,NA,NA,NA
Pedal cyclist injured in collision with other nonmotor vehicle (V16),no.,0,0,0,0,0,0,NA,V16,NA,NA,NA
Pedal cyclist injured in collision with fixed or stationary object (V17),no.,4,0,4,4,0,4,1,V17,1,NA,1
Pedal cyclist injured in noncollision transport accident (V18),no.,7,1,8,7,1,8,1,V18,1,1,1
Pedal cyclist injured in other and unspecified transport accidents (V19),no.,3,0,3,3,1,4,1.3,V19,1,NA,1.3333333333333333
Motorcycle rider injured in transport accident (V20-V29),no.,275,17,292,278,17,295,1,V20-V29,1.010909090909091,1,1.0102739726027397
Motorcycle rider injured in collision with pedestrian or animal (V20),no.,6,0,6,6,0,6,1,V20,1,NA,1
Motorcycle rider injured in collision with pedal cycle (V21),no.,1,0,1,1,0,1,1,V21,1,NA,1
Motorcycle rider injured in collision with two- or three-wheeled motor vehicle (V22),no.,6,1,7,6,1,7,1,V22,1,1,1
"Motorcycle rider injured in collision with car, pick-up truck or van (V23)",no.,113,7,120,114,7,121,1,V23,1.008849557522124,1,1.0083333333333333
Motorcycle rider injured in collision with heavy transport vehicle or bus (V24),no.,15,1,16,15,1,16,1,V24,1,1,1
Motorcycle rider injured in collision with railway train or railway vehicle (V25),no.,1,0,1,1,0,1,1,V25,1,NA,1
Motorcycle rider injured in collision with other nonmotor vehicle (V26),no.,0,0,0,0,0,0,NA,V26,NA,NA,NA
Motorcycle rider injured in collision with fixed or stationary object (V27),no.,84,6,90,84,6,90,1,V27,1,1,1
Motorcycle rider injured in noncollision transport accident (V28),no.,32,2,34,33,2,35,1,V28,1.03125,1,1.0294117647058822
Motorcycle rider injured in other and unspecified transport accidents (V29),no.,17,0,17,18,0,18,1.1,V29,1.0588235294117647,NA,1.0588235294117647
Occupant of three-wheeled motor vehicle injured in transport accident (V30-V39),no.,1,0,1,1,0,1,1,V30-V39,1,NA,1
Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal (V30),no.,0,0,0,0,0,0,NA,V30,NA,NA,NA
Occupant of three-wheeled motor vehicle injured in collision with pedal cycle (V31),no.,0,0,0,0,0,0,NA,V31,NA,NA,NA
Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle (V32),no.,0,0,0,0,0,0,NA,V32,NA,NA,NA
"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van (V33)",no.,0,0,0,0,0,0,NA,V33,NA,NA,NA
Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus (V34),no.,0,0,0,0,0,0,NA,V34,NA,NA,NA
Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle (V35),no.,0,0,0,0,0,0,NA,V35,NA,NA,NA
Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle (V36),no.,0,0,0,0,0,0,NA,V36,NA,NA,NA
Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object (V37),no.,1,0,1,1,0,1,1,V37,1,NA,1
Occupant of three-wheeled motor vehicle injured in noncollision transport accident (V38),no.,0,0,0,0,0,0,NA,V38,NA,NA,NA
Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents (V39),no.,0,0,0,0,0,0,NA,V39,NA,NA,NA
Car occupant injured in transport accident (V40-V49),no.,428,202,630,444,205,649,1,V40-V49,1.0373831775700935,1.0148514851485149,1.03015873015873
Car occupant injured in collision with pedestrian or animal (V40),no.,1,0,1,1,0,1,1,V40,1,NA,1
Car occupant injured in collision with pedal cycle (V41),no.,0,0,0,0,0,0,NA,V41,NA,NA,NA
Car occupant injured in collision with two- or three-wheeled motor vehicle (V42),no.,3,0,3,3,0,3,1,V42,1,NA,1
"Car occupant injured in collision with car, pick-up truck or van (V43)",no.,121,79,200,124,82,206,1,V43,1.024793388429752,1.0379746835443038,1.03
Car occupant injured in collision with heavy transport vehicle or bus (V44),no.,48,31,79,49,31,80,1,V44,1.0208333333333333,1,1.0126582278481013
Car occupant injured in collision with railway train or railway vehicle (V45),no.,1,0,1,1,0,1,1,V45,1,NA,1
Car occupant injured in collision with other nonmotor vehicle (V46),no.,0,0,0,0,0,0,NA,V46,NA,NA,NA
Car occupant injured in collision with fixed or stationary object (V47),no.,179,59,238,187,59,246,1,V47,1.0446927374301676,1,1.0336134453781514
Car occupant injured in noncollision transport accident (V48),no.,66,29,95,68,29,97,1,V48,1.0303030303030303,1,1.0210526315789474
Car occupant injured in other and unspecified transport accidents (V49),no.,9,4,13,11,4,15,1.2,V49,1.2222222222222223,1,1.1538461538461537
Occupant of pick-up truck or van injured in transport accident (V50-V59),no.,8,2,10,8,2,10,1,V50-V59,1,1,1
Occupant of pick-up truck or van injured in collision with pedestrian or animal (V50),no.,0,0,0,0,0,0,NA,V50,NA,NA,NA
Occupant of pick-up truck or van injured in collision with pedal cycle (V51),no.,0,0,0,0,0,0,NA,V51,NA,NA,NA
Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle (V52),no.,0,0,0,0,0,0,NA,V52,NA,NA,NA
"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van (V53)",no.,3,1,4,3,1,4,1,V53,1,1,1
Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus (V54),no.,2,0,2,2,0,2,1,V54,1,NA,1
Occupant of pick-up truck or van injured in collision with railway train or railway vehicle (V55),no.,0,0,0,0,0,0,NA,V55,NA,NA,NA
Occupant of pick-up truck or van injured in collision with other nonmotor vehicle (V56),no.,0,0,0,0,0,0,NA,V56,NA,NA,NA
Occupant of pick-up truck or van injured in collision with fixed or stationary object (V57),no.,2,1,3,2,1,3,1,V57,1,1,1
Occupant of pick-up truck or van injured in noncollision transport accident (V58),no.,1,0,1,1,0,1,1,V58,1,NA,1
Occupant of pick-up truck or van injured in other and unspecified transport accidents (V59),no.,0,0,0,0,0,0,NA,V59,NA,NA,NA
Occupant of heavy transport vehicle injured in transport accident (V60-V69),no.,44,3,47,45,3,48,1,V60-V69,1.0227272727272727,1,1.0212765957446808
Occupant of heavy transport vehicle injured in collision with pedestrian or animal (V60),no.,1,0,1,1,0,1,1,V60,1,NA,1
Occupant of heavy transport vehicle injured in collision with pedal cycle (V61),no.,0,0,0,0,0,0,NA,V61,NA,NA,NA
Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle (V62),no.,0,0,0,0,0,0,NA,V62,NA,NA,NA
"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van (V63)",no.,5,0,5,6,0,6,1.2,V63,1.2,NA,1.2
Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus (V64),no.,18,1,19,18,1,19,1,V64,1,1,1
Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle (V65),no.,1,0,1,1,0,1,1,V65,1,NA,1
Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle (V66),no.,0,0,0,0,0,0,NA,V66,NA,NA,NA
Occupant of heavy transport vehicle injured in collision with fixed or stationary object (V67),no.,12,1,13,12,1,13,1,V67,1,1,1
Occupant of heavy transport vehicle injured in noncollision transport accident (V68),no.,6,1,7,6,1,7,1,V68,1,1,1
Occupant of heavy transport vehicle injured in other and unspecified transport accidents (V69),no.,1,0,1,1,0,1,1,V69,1,NA,1
Bus occupant injured in transport accident (V70-V79),no.,4,3,7,4,3,7,1,V70-V79,1,1,1
Bus occupant injured in collision with pedestrian or animal (V70),no.,0,0,0,0,0,0,NA,V70,NA,NA,NA
Bus occupant injured in collision with pedal cycle (V71),no.,0,0,0,0,0,0,NA,V71,NA,NA,NA
Bus occupant injured in collision with two- or three-wheeled motor vehicle (V72),no.,0,1,1,0,1,1,1,V72,NA,1,1
"Bus occupant injured in collision with car, pick-up truck or van (V73)",no.,0,2,2,0,2,2,1,V73,NA,1,1
Bus occupant injured in collision with heavy transport vehicle or bus (V74),no.,0,0,0,0,0,0,NA,V74,NA,NA,NA
Bus occupant injured in collision with railway train or railway vehicle (V75),no.,0,0,0,0,0,0,NA,V75,NA,NA,NA
Bus occupant injured in collision with other nonmotor vehicle (V76),no.,0,0,0,0,0,0,NA,V76,NA,NA,NA
Bus occupant injured in collision with fixed or stationary object (V77),no.,1,0,1,1,0,1,1,V77,1,NA,1
Bus occupant injured in noncollision transport accident (V78),no.,3,0,3,3,0,3,1,V78,1,NA,1
Bus occupant injured in other and unspecified transport accidents (V79),no.,0,0,0,0,0,0,NA,V79,NA,NA,NA
Other land transport accidents (V80-V89),no.,103,23,126,109,23,132,1,V80-V89,1.058252427184466,1,1.0476190476190477
Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),no.,3,2,5,5,2,7,1.4,V80,1.6666666666666667,1,1.4
Occupant of railway train or railway vehicle injured in transport accident (V81),no.,3,0,3,3,0,3,1,V81,1,NA,1
Occupant of streetcar injured in transport accident (V82),no.,1,0,1,1,0,1,1,V82,1,NA,1
Occupant of special vehicle mainly used on industrial premises injured in transport accident (V83),no.,5,0,5,5,0,5,1,V83,1,NA,1
Occupant of special vehicle mainly used in agriculture injured in transport accident (V84),no.,17,4,21,17,4,21,1,V84,1,1,1
Occupant of special construction vehicle injured in transport accident (V85),no.,1,0,1,1,0,1,1,V85,1,NA,1
"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident (V86)",no.,36,5,41,36,5,41,1,V86,1,1,1
Traffic accident of specified type but victim's mode of transport unknown (V87),no.,0,0,0,0,0,0,NA,V87,NA,NA,NA
Nontraffic accident of specified type but victim's mode of transport unknown (V88),no.,0,0,0,0,0,0,NA,V88,NA,NA,NA
"Motor- or nonmotor-vehicle accident, type of vehicle unspecified (V89)",no.,37,12,49,41,12,53,1.1,V89,1.1081081081081081,1,1.0816326530612246
Water transport accidents (V90-V94),no.,38,6,44,38,6,44,1,V90-V94,1,1,1
Accident to watercraft causing drowning and submersion (V90),no.,19,0,19,19,0,19,1,V90,1,NA,1
Accident to watercraft causing other injury (V91),no.,3,3,6,3,3,6,1,V91,1,1,1
Water-transport-related drowning and submersion without accident to watercraft (V92),no.,11,1,12,11,1,12,1,V92,1,1,1
"Accident on board watercraft without accident to watercraft, not causing drowning and submersion (V93)",no.,4,1,5,4,1,5,1,V93,1,1,1
Other and unspecified water transport accidents (V94),no.,1,1,2,1,1,2,1,V94,1,1,1
Air and space transport accidents (V95-V97),no.,29,2,31,29,2,31,1,V95-V97,1,1,1
Accident to powered aircraft causing injury to occupant (V95),no.,23,2,25,23,2,25,1,V95,1,1,1
Accident to nonpowered aircraft causing injury to occupant (V96),no.,2,0,2,2,0,2,1,V96,1,NA,1
Other specified air transport accidents (V97),no.,4,0,4,4,0,4,1,V97,1,NA,1
Other and unspecified transport accidents (V98-V99),no.,0,0,0,0,0,0,NA,V98-V99,NA,NA,NA
Other specified transport accidents (V98),no.,0,0,0,0,0,0,NA,V98,NA,NA,NA
Unspecified transport accident (V99),no.,0,0,0,0,0,0,NA,V99,NA,NA,NA
Other external causes of accidental injury (W00-X59),no.,4397,3335,7732,6185,4856,11041,1.4,W00-X59,1.4066408915169433,1.456071964017991,1.4279617175375066
Falls (W00-W19),no.,2233,2040,4273,2605,2340,4945,1.2,W00-W19,1.166592028660994,1.1470588235294117,1.1572665574537795
Fall on same level involving ice and snow (W00),no.,0,0,0,0,0,0,NA,W00,NA,NA,NA
"Fall on same level from slipping, tripping and stumbling (W01)",no.,155,143,298,162,151,313,1.1,W01,1.0451612903225806,1.055944055944056,1.0503355704697988
"Fall involving ice-skates, skis, roller-skates or skateboards (W02)",no.,0,0,0,0,0,0,NA,W02,NA,NA,NA
"Other fall on same level due to collision with, or pushing by, another person (W03)",no.,2,4,6,2,5,7,1.2,W03,1,1.25,1.1666666666666667
Fall while being carried or supported by other persons (W04),no.,0,1,1,2,1,3,3,W04,NA,1,3
Fall involving wheelchair (W05),no.,10,6,16,10,7,17,1.1,W05,1,1.1666666666666667,1.0625
Fall involving bed (W06),no.,49,52,101,49,57,106,1,W06,1,1.0961538461538463,1.0495049504950495
Fall involving chair (W07),no.,29,24,53,31,28,59,1.1,W07,1.0689655172413792,1.1666666666666667,1.1132075471698113
Fall involving other furniture (W08),no.,6,4,10,6,4,10,1,W08,1,1,1
Fall involving playground equipment (W09),no.,0,0,0,0,0,0,NA,W09,NA,NA,NA
Fall on and from stairs and steps (W10),no.,71,34,105,73,38,111,1.1,W10,1.028169014084507,1.1176470588235294,1.0571428571428572
Fall on and from ladder (W11),no.,31,4,35,33,4,37,1.1,W11,1.064516129032258,1,1.0571428571428572
Fall on and from scaffolding (W12),no.,1,0,1,1,0,1,1,W12,1,NA,1
"Fall from, out of or through building or structure (W13)",no.,31,1,32,33,1,34,1.1,W13,1.064516129032258,1,1.0625
Fall from tree (W14),no.,1,0,1,1,0,1,1,W14,1,NA,1
Fall from cliff (W15),no.,10,3,13,10,3,13,1,W15,1,1,1
Diving or jumping into water causing injury other than drowning or submersion (W16),no.,2,0,2,2,0,2,1,W16,1,NA,1
Other fall from one level to another (W17),no.,17,7,24,22,8,30,1.3,W17,1.2941176470588236,1.1428571428571428,1.25
Other fall on same level (W18),no.,87,84,171,89,88,177,1,W18,1.0229885057471264,1.0476190476190477,1.0350877192982457
Unspecified fall (W19),no.,1731,1673,3404,2079,1945,4024,1.2,W19,1.2010398613518198,1.1625821876867901,1.1821386603995299
Exposure to inanimate mechanical forces (W20-W49),no.,88,14,102,98,21,119,1.2,W20-W49,1.1136363636363635,1.5,1.1666666666666667
"Struck by thrown, projected or falling object (W20)",no.,27,5,32,30,6,36,1.1,W20,1.1111111111111112,1.2,1.125
Striking against or struck by sports equipment (W21),no.,1,0,1,1,0,1,1,W21,1,NA,1
Striking against or struck by other objects (W22),no.,4,2,6,4,2,6,1,W22,1,1,1
"Caught, crushed, jammed or pinched in or between objects (W23)",no.,12,2,14,13,2,15,1.1,W23,1.0833333333333333,1,1.0714285714285714
"Contact with lifting and transmission devices, not elsewhere classified (W24)",no.,9,3,12,9,3,12,1,W24,1,1,1
Contact with sharp glass (W25),no.,5,1,6,6,1,7,1.2,W25,1.2,1,1.1666666666666667
"Contact with knife, sword or dagger (W26)",no.,1,0,1,1,0,1,1,W26,1,NA,1
Contact with nonpowered hand tool (W27),no.,1,0,1,1,0,1,1,W27,1,NA,1
Contact with powered lawnmower (W28),no.,2,0,2,2,3,5,2.5,W28,1,NA,2.5
Contact with other powered hand tools and household machinery (W29),no.,2,0,2,4,0,4,2,W29,2,NA,2
Contact with agricultural machinery (W30),no.,3,0,3,3,0,3,1,W30,1,NA,1
Contact with other and unspecified machinery (W31),no.,12,0,12,12,0,12,1,W31,1,NA,1
Handgun discharge (W32),no.,0,0,0,0,0,0,NA,W32,NA,NA,NA
"Rifle, shotgun and larger firearm discharge (W33)",no.,2,0,2,2,0,2,1,W33,1,NA,1
Discharge from other and unspecified firearms (W34),no.,0,0,0,0,0,0,NA,W34,NA,NA,NA
Explosion and rupture of boiler (W35),no.,0,0,0,0,0,0,NA,W35,NA,NA,NA
Explosion and rupture of gas cylinder (W36),no.,0,0,0,0,0,0,NA,W36,NA,NA,NA
"Explosion and rupture of pressurized tyre, pipe or hose (W37)",no.,0,0,0,0,0,0,NA,W37,NA,NA,NA
Explosion and rupture of other specified pressurized devices (W38),no.,0,0,0,0,0,0,NA,W38,NA,NA,NA
Discharge of firework (W39),no.,0,0,0,0,0,0,NA,W39,NA,NA,NA
Explosion of other materials (W40),no.,3,0,3,3,0,3,1,W40,1,NA,1
Exposure to high-pressure jet (W41),no.,0,0,0,0,0,0,NA,W41,NA,NA,NA
Exposure to noise (W42),no.,0,0,0,0,0,0,NA,W42,NA,NA,NA
Exposure to vibration (W43),no.,0,0,0,0,0,0,NA,W43,NA,NA,NA
Foreign body entering into or through eye or natural orifice (W44),no.,2,1,3,4,3,7,2.3,W44,2,3,2.3333333333333335
Foreign body or object entering through skin (W45),no.,0,0,0,0,0,0,NA,W45,NA,NA,NA
Contact with hypodermic needle (W46),no.,2,0,2,3,1,4,2,W46,1.5,NA,2
Exposure to other and unspecified inanimate mechanical forces (W49),no.,0,0,0,0,0,0,NA,W49,NA,NA,NA
Exposure to animate mechanical forces (W50-W64),no.,11,6,17,17,7,24,1.4,W50-W64,1.5454545454545454,1.1666666666666667,1.411764705882353
"Hit, struck, kicked, twisted, bitten or scratched by another person (W50)",no.,1,1,2,1,1,2,1,W50,1,1,1
Striking against or bumped into by another person (W51),no.,0,1,1,0,1,1,1,W51,NA,1,1
"Crushed, pushed or stepped on by crowd or human stampede (W52)",no.,0,0,0,0,0,0,NA,W52,NA,NA,NA
Bitten by rat (W53),no.,0,0,0,0,0,0,NA,W53,NA,NA,NA
Bitten or struck by dog (W54),no.,3,0,3,5,1,6,2,W54,1.6666666666666667,NA,2
Bitten or struck by other mammals (W55),no.,3,4,7,4,4,8,1.1,W55,1.3333333333333333,1,1.1428571428571428
Contact with marine animal (W56),no.,2,0,2,2,0,2,1,W56,1,NA,1
Bitten or stung by nonvenomous insect and other nonvenomous arthropods (W57),no.,0,0,0,2,0,2,NA,W57,NA,NA,NA
Bitten or struck by crocodile or alligator (W58),no.,2,0,2,3,0,3,1.5,W58,1.5,NA,1.5
Bitten or crushed by other reptiles (W59),no.,0,0,0,0,0,0,NA,W59,NA,NA,NA
Contact with plant thorns and spines and sharp leaves (W60),no.,0,0,0,0,0,0,NA,W60,NA,NA,NA
Exposure to other and unspecified animate mechanical forces (W64),no.,0,0,0,0,0,0,NA,W64,NA,NA,NA
Accidental drowning and submersion (W65-W74),no.,177,53,230,193,59,252,1.1,W65-W74,1.0903954802259888,1.1132075471698113,1.0956521739130434
Drowning and submersion while in bath-tub (W65),no.,7,5,12,7,9,16,1.3,W65,1,1.8,1.3333333333333333
Drowning and submersion following fall into bath-tub (W66),no.,1,1,2,1,2,3,1.5,W66,1,2,1.5
Drowning and submersion while in swimming-pool (W67),no.,15,8,23,19,8,27,1.2,W67,1.2666666666666666,1,1.173913043478261
Drowning and submersion following fall into swimming-pool (W68),no.,12,3,15,15,3,18,1.2,W68,1.25,1,1.2
Drowning and submersion while in natural water (W69),no.,95,24,119,101,24,125,1.1,W69,1.063157894736842,1,1.050420168067227
Drowning and submersion following fall into natural water (W70),no.,28,6,34,29,6,35,1,W70,1.0357142857142858,1,1.0294117647058822
Other specified drowning and submersion (W73),no.,3,2,5,4,2,6,1.2,W73,1.3333333333333333,1,1.2
Unspecified drowning and submersion (W74),no.,16,4,20,17,5,22,1.1,W74,1.0625,1.25,1.1
Other accidental threats to breathing (W75-W84),no.,152,103,255,824,615,1439,5.6,W75-W84,5.421052631578948,5.970873786407767,5.643137254901961
Accidental suffocation and strangulation in bed (W75),no.,3,3,6,3,3,6,1,W75,1,1,1
Other accidental hanging and strangulation (W76),no.,9,2,11,11,2,13,1.2,W76,1.2222222222222223,1,1.1818181818181819
"Threat to breathing due to cave-in, falling earth and other substances (W77)",no.,0,0,0,0,0,0,NA,W77,NA,NA,NA
Inhalation of gastric contents (W78),no.,1,1,2,22,25,47,23.5,W78,22,25,23.5
Inhalation and ingestion of food causing obstruction of respiratory tract (W79),no.,66,34,100,116,62,178,1.8,W79,1.7575757575757576,1.8235294117647058,1.78
Inhalation and ingestion of other objects causing obstruction of respiratory tract (W80),no.,70,61,131,666,517,1183,9,W80,9.514285714285714,8.475409836065573,9.030534351145038
Confined to or trapped in a low-oxygen environment (W81),no.,3,1,4,3,1,4,1,W81,1,1,1
Other specified threats to breathing (W83),no.,0,1,1,3,5,8,8,W83,NA,5,8
Unspecified threat to breathing (W84),no.,0,0,0,0,0,0,NA,W84,NA,NA,NA
"Exposure to electric current, radiation and extreme ambient air temperature and pressure (W85-W99)",no.,9,1,10,11,1,12,1.2,W85-W99,1.2222222222222223,1,1.2
Exposure to electric transmission lines (W85),no.,3,0,3,3,0,3,1,W85,1,NA,1
Exposure to other specified electric current (W86),no.,3,1,4,4,1,5,1.3,W86,1.3333333333333333,1,1.25
Exposure to unspecified electric current (W87),no.,3,0,3,4,0,4,1.3,W87,1.3333333333333333,NA,1.3333333333333333
Exposure to ionizing radiation (W88),no.,0,0,0,0,0,0,NA,W88,NA,NA,NA
Exposure to man-made visible and ultraviolet light (W89),no.,0,0,0,0,0,0,NA,W89,NA,NA,NA
Exposure to other nonionizing radiation (W90),no.,0,0,0,0,0,0,NA,W90,NA,NA,NA
Exposure to unspecified type of radiation (W91),no.,0,0,0,0,0,0,NA,W91,NA,NA,NA
Exposure to excessive heat of man-made origin (W92),no.,0,0,0,0,0,0,NA,W92,NA,NA,NA
Exposure to excessive cold of man-made origin (W93),no.,0,0,0,0,0,0,NA,W93,NA,NA,NA
Exposure to high and low air pressure and changes in air pressure (W94),no.,0,0,0,0,0,0,NA,W94,NA,NA,NA
Exposure to other and unspecified man-made environmental factors (W99),no.,0,0,0,0,0,0,NA,W99,NA,NA,NA
"Exposure to smoke, fire and flames (X00-X09)",no.,50,23,73,53,26,79,1.1,X00-X09,1.06,1.1304347826086956,1.082191780821918
Exposure to uncontrolled fire in building or structure (X00),no.,43,16,59,43,16,59,1,X00,1,1,1
"Exposure to uncontrolled fire, not in building or structure (X01)",no.,2,0,2,2,1,3,1.5,X01,1,NA,1.5
Exposure to controlled fire in building or structure (X02),no.,1,1,2,1,1,2,1,X02,1,1,1
"Exposure to controlled fire, not in building or structure (X03)",no.,0,0,0,0,0,0,NA,X03,NA,NA,NA
Exposure to ignition of highly flammable material (X04),no.,1,1,2,1,1,2,1,X04,1,1,1
Exposure to ignition or melting of nightwear (X05),no.,0,0,0,0,0,0,NA,X05,NA,NA,NA
Exposure to ignition or melting of other clothing and apparel (X06),no.,0,2,2,0,2,2,1,X06,NA,1,1
"Exposure to other specified smoke, fire and flames (X08)",no.,0,0,0,0,0,0,NA,X08,NA,NA,NA
"Exposure to unspecified smoke, fire and flames (X09)",no.,3,3,6,6,5,11,1.8,X09,2,1.6666666666666667,1.8333333333333333
Contact with heat and hot substances (X10-X19),no.,7,0,7,9,1,10,1.4,X10-X19,1.2857142857142858,NA,1.4285714285714286
"Contact with hot drinks, food, fats and cooking oils (X10)",no.,0,0,0,0,0,0,NA,X10,NA,NA,NA
Contact with hot tap-water (X11),no.,5,0,5,5,1,6,1.2,X11,1,NA,1.2
Contact with other hot fluids (X12),no.,0,0,0,0,0,0,NA,X12,NA,NA,NA
Contact with steam and hot vapours (X13),no.,0,0,0,0,0,0,NA,X13,NA,NA,NA
Contact with hot air and gases (X14),no.,0,0,0,0,0,0,NA,X14,NA,NA,NA
Contact with hot household appliances (X15),no.,0,0,0,0,0,0,NA,X15,NA,NA,NA
"Contact with hot heating appliances, radiators and pipes (X16)",no.,0,0,0,0,0,0,NA,X16,NA,NA,NA
"Contact with hot engines, machinery and tools (X17)",no.,0,0,0,0,0,0,NA,X17,NA,NA,NA
