cause_icd10,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,extra_1,icd10_code,cause_name,is_chapter,is_total,ratio_persons,ratio_male,ratio_female
Occupant of pick-up truck or van injured in collision with pedal cycle (V51),no.,0,0,0,0,0,0,—,V51,Occupant of pick-up truck or van injured in collision with pedal cycle,FALSE,FALSE,NA,NA,NA
Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle (V52),no.,0,0,0,0,0,0,—,V52,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE,NA,NA,NA
"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van (V53)",no.,3,1,4,3,1,4,1,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",FALSE,FALSE,1,1,1
Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus (V54),no.,2,0,2,2,0,2,1,V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus,FALSE,FALSE,1,1,NA
Occupant of pick-up truck or van injured in collision with railway train or railway vehicle (V55),no.,0,0,0,0,0,0,—,V55,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,FALSE,FALSE,NA,NA,NA
Occupant of pick-up truck or van injured in collision with other nonmotor vehicle (V56),no.,0,0,0,0,0,0,—,V56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle,FALSE,FALSE,NA,NA,NA
Occupant of pick-up truck or van injured in collision with fixed or stationary object (V57),no.,2,1,3,2,1,3,1,V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object,FALSE,FALSE,1,1,1
Occupant of pick-up truck or van injured in noncollision transport accident (V58),no.,1,0,1,1,0,1,1,V58,Occupant of pick-up truck or van injured in noncollision transport accident,FALSE,FALSE,1,1,NA
Occupant of pick-up truck or van injured in other and unspecified transport accidents (V59),no.,0,0,0,0,0,0,—,V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents,FALSE,FALSE,NA,NA,NA
Occupant of heavy transport vehicle injured in transport accident (V60-V69),no.,44,3,47,45,3,48,1,V60-V69,Occupant of heavy transport vehicle injured in transport accident,FALSE,FALSE,1.0212765957446808,1.0227272727272727,1
Occupant of heavy transport vehicle injured in collision with pedestrian or animal (V60),no.,1,0,1,1,0,1,1,V60,Occupant of heavy transport vehicle injured in collision with pedestrian or animal,FALSE,FALSE,1,1,NA
Occupant of heavy transport vehicle injured in collision with pedal cycle (V61),no.,0,0,0,0,0,0,—,V61,Occupant of heavy transport vehicle injured in collision with pedal cycle,FALSE,FALSE,NA,NA,NA
Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle (V62),no.,0,0,0,0,0,0,—,V62,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE,NA,NA,NA
"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van (V63)",no.,5,0,5,6,0,6,1.2,V63,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van",FALSE,FALSE,1.2,1.2,NA
Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus (V64),no.,18,1,19,18,1,19,1,V64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,FALSE,FALSE,1,1,1
Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle (V65),no.,1,0,1,1,0,1,1,V65,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,FALSE,FALSE,1,1,NA
Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle (V66),no.,0,0,0,0,0,0,—,V66,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle,FALSE,FALSE,NA,NA,NA
Occupant of heavy transport vehicle injured in collision with fixed or stationary object (V67),no.,12,1,13,12,1,13,1,V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object,FALSE,FALSE,1,1,1
Occupant of heavy transport vehicle injured in noncollision transport accident (V68),no.,6,1,7,6,1,7,1,V68,Occupant of heavy transport vehicle injured in noncollision transport accident,FALSE,FALSE,1,1,1
Occupant of heavy transport vehicle injured in other and unspecified transport accidents (V69),no.,1,0,1,1,0,1,1,V69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents,FALSE,FALSE,1,1,NA
Bus occupant injured in transport accident (V70-V79),no.,4,3,7,4,3,7,1,V70-V79,Bus occupant injured in transport accident,FALSE,FALSE,1,1,1
Bus occupant injured in collision with pedestrian or animal (V70),no.,0,0,0,0,0,0,—,V70,Bus occupant injured in collision with pedestrian or animal,FALSE,FALSE,NA,NA,NA
Bus occupant injured in collision with pedal cycle (V71),no.,0,0,0,0,0,0,—,V71,Bus occupant injured in collision with pedal cycle,FALSE,FALSE,NA,NA,NA
Bus occupant injured in collision with two- or three-wheeled motor vehicle (V72),no.,0,1,1,0,1,1,1,V72,Bus occupant injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE,1,NA,1
"Bus occupant injured in collision with car, pick-up truck or van (V73)",no.,0,2,2,0,2,2,1,V73,"Bus occupant injured in collision with car, pick-up truck or van",FALSE,FALSE,1,NA,1
Bus occupant injured in collision with heavy transport vehicle or bus (V74),no.,0,0,0,0,0,0,—,V74,Bus occupant injured in collision with heavy transport vehicle or bus,FALSE,FALSE,NA,NA,NA
Bus occupant injured in collision with railway train or railway vehicle (V75),no.,0,0,0,0,0,0,—,V75,Bus occupant injured in collision with railway train or railway vehicle,FALSE,FALSE,NA,NA,NA
Bus occupant injured in collision with other nonmotor vehicle (V76),no.,0,0,0,0,0,0,—,V76,Bus occupant injured in collision with other nonmotor vehicle,FALSE,FALSE,NA,NA,NA
Bus occupant injured in collision with fixed or stationary object (V77),no.,1,0,1,1,0,1,1,V77,Bus occupant injured in collision with fixed or stationary object,FALSE,FALSE,1,1,NA
Bus occupant injured in noncollision transport accident (V78),no.,3,0,3,3,0,3,1,V78,Bus occupant injured in noncollision transport accident,FALSE,FALSE,1,1,NA
Bus occupant injured in other and unspecified transport accidents (V79),no.,0,0,0,0,0,0,—,V79,Bus occupant injured in other and unspecified transport accidents,FALSE,FALSE,NA,NA,NA
Other land transport accidents (V80-V89),no.,103,23,126,109,23,132,1,V80-V89,Other land transport accidents,FALSE,FALSE,1.0476190476190477,1.058252427184466,1
Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),no.,3,2,5,5,2,7,1.4,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident,FALSE,FALSE,1.4,1.6666666666666667,1
Occupant of railway train or railway vehicle injured in transport accident (V81),no.,3,0,3,3,0,3,1,V81,Occupant of railway train or railway vehicle injured in transport accident,FALSE,FALSE,1,1,NA
Occupant of streetcar injured in transport accident (V82),no.,1,0,1,1,0,1,1,V82,Occupant of streetcar injured in transport accident,FALSE,FALSE,1,1,NA
Occupant of special vehicle mainly used on industrial premises injured in transport accident (V83),no.,5,0,5,5,0,5,1,V83,Occupant of special vehicle mainly used on industrial premises injured in transport accident,FALSE,FALSE,1,1,NA
Occupant of special vehicle mainly used in agriculture injured in transport accident (V84),no.,17,4,21,17,4,21,1,V84,Occupant of special vehicle mainly used in agriculture injured in transport accident,FALSE,FALSE,1,1,1
Occupant of special construction vehicle injured in transport accident (V85),no.,1,0,1,1,0,1,1,V85,Occupant of special construction vehicle injured in transport accident,FALSE,FALSE,1,1,NA
"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident (V86)",no.,36,5,41,36,5,41,1,V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident",FALSE,FALSE,1,1,1
Traffic accident of specified type but victim's mode of transport unknown (V87),no.,0,0,0,0,0,0,—,V87,Traffic accident of specified type but victim's mode of transport unknown,FALSE,FALSE,NA,NA,NA
Nontraffic accident of specified type but victim's mode of transport unknown (V88),no.,0,0,0,0,0,0,—,V88,Nontraffic accident of specified type but victim's mode of transport unknown,FALSE,FALSE,NA,NA,NA
"Motor- or nonmotor-vehicle accident, type of vehicle unspecified (V89)",no.,37,12,49,41,12,53,1.1000000000000001,V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified",FALSE,FALSE,1.0816326530612246,1.1081081081081081,1
Water transport accidents (V90-V94),no.,38,6,44,38,6,44,1,V90-V94,Water transport accidents,FALSE,FALSE,1,1,1
Accident to watercraft causing drowning and submersion (V90),no.,19,0,19,19,0,19,1,V90,Accident to watercraft causing drowning and submersion,FALSE,FALSE,1,1,NA
Accident to watercraft causing other injury (V91),no.,3,3,6,3,3,6,1,V91,Accident to watercraft causing other injury,FALSE,FALSE,1,1,1
Water-transport-related drowning and submersion without accident to watercraft (V92),no.,11,1,12,11,1,12,1,V92,Water-transport-related drowning and submersion without accident to watercraft,FALSE,FALSE,1,1,1
"Accident on board watercraft without accident to watercraft, not causing drowning and submersion (V93)",no.,4,1,5,4,1,5,1,V93,"Accident on board watercraft without accident to watercraft, not causing drowning and submersion",FALSE,FALSE,1,1,1
Other and unspecified water transport accidents (V94),no.,1,1,2,1,1,2,1,V94,Other and unspecified water transport accidents,FALSE,FALSE,1,1,1
Air and space transport accidents (V95-V97),no.,29,2,31,29,2,31,1,V95-V97,Air and space transport accidents,FALSE,FALSE,1,1,1
Accident to powered aircraft causing injury to occupant (V95),no.,23,2,25,23,2,25,1,V95,Accident to powered aircraft causing injury to occupant,FALSE,FALSE,1,1,1
Accident to nonpowered aircraft causing injury to occupant (V96),no.,2,0,2,2,0,2,1,V96,Accident to nonpowered aircraft causing injury to occupant,FALSE,FALSE,1,1,NA
Other specified air transport accidents (V97),no.,4,0,4,4,0,4,1,V97,Other specified air transport accidents,FALSE,FALSE,1,1,NA
Other and unspecified transport accidents (V98-V99),no.,0,0,0,0,0,0,—,V98-V99,Other and unspecified transport accidents,FALSE,FALSE,NA,NA,NA
Other specified transport accidents (V98),no.,0,0,0,0,0,0,—,V98,Other specified transport accidents,FALSE,FALSE,NA,NA,NA
Unspecified transport accident (V99),no.,0,0,0,0,0,0,—,V99,Unspecified transport accident,FALSE,FALSE,NA,NA,NA
Other external causes of accidental injury (W00-X59),no.,4397,3335,7732,6185,4856,11041,1.4,W00-X59,Other external causes of accidental injury,FALSE,FALSE,1.4279617175375066,1.4066408915169433,1.456071964017991
Falls (W00-W19),no.,2233,2040,4273,2605,2340,4945,1.2,W00-W19,Falls,FALSE,FALSE,1.1572665574537795,1.166592028660994,1.1470588235294117
Fall on same level involving ice and snow (W00),no.,0,0,0,0,0,0,—,W00,Fall on same level involving ice and snow,FALSE,FALSE,NA,NA,NA
"Fall on same level from slipping, tripping and stumbling (W01)",no.,155,143,298,162,151,313,1.1000000000000001,W01,"Fall on same level from slipping, tripping and stumbling",FALSE,FALSE,1.0503355704697988,1.0451612903225806,1.055944055944056
"Fall involving ice-skates, skis, roller-skates or skateboards (W02)",no.,0,0,0,0,0,0,—,W02,"Fall involving ice-skates, skis, roller-skates or skateboards",FALSE,FALSE,NA,NA,NA
"Other fall on same level due to collision with, or pushing by, another person (W03)",no.,2,4,6,2,5,7,1.2,W03,"Other fall on same level due to collision with, or pushing by, another person",FALSE,FALSE,1.1666666666666667,1,1.25
Fall while being carried or supported by other persons (W04),no.,0,1,1,2,1,3,3,W04,Fall while being carried or supported by other persons,FALSE,FALSE,3,NA,1
Fall involving wheelchair (W05),no.,10,6,16,10,7,17,1.1000000000000001,W05,Fall involving wheelchair,FALSE,FALSE,1.0625,1,1.1666666666666667
Fall involving bed (W06),no.,49,52,101,49,57,106,1,W06,Fall involving bed,FALSE,FALSE,1.0495049504950495,1,1.0961538461538463
Fall involving chair (W07),no.,29,24,53,31,28,59,1.1000000000000001,W07,Fall involving chair,FALSE,FALSE,1.1132075471698113,1.0689655172413792,1.1666666666666667
Fall involving other furniture (W08),no.,6,4,10,6,4,10,1,W08,Fall involving other furniture,FALSE,FALSE,1,1,1
Fall involving playground equipment (W09),no.,0,0,0,0,0,0,—,W09,Fall involving playground equipment,FALSE,FALSE,NA,NA,NA
Fall on and from stairs and steps (W10),no.,71,34,105,73,38,111,1.1000000000000001,W10,Fall on and from stairs and steps,FALSE,FALSE,1.0571428571428572,1.028169014084507,1.1176470588235294
Fall on and from ladder (W11),no.,31,4,35,33,4,37,1.1000000000000001,W11,Fall on and from ladder,FALSE,FALSE,1.0571428571428572,1.064516129032258,1
Fall on and from scaffolding (W12),no.,1,0,1,1,0,1,1,W12,Fall on and from scaffolding,FALSE,FALSE,1,1,NA
"Fall from, out of or through building or structure (W13)",no.,31,1,32,33,1,34,1.1000000000000001,W13,"Fall from, out of or through building or structure",FALSE,FALSE,1.0625,1.064516129032258,1
Fall from tree (W14),no.,1,0,1,1,0,1,1,W14,Fall from tree,FALSE,FALSE,1,1,NA
Fall from cliff (W15),no.,10,3,13,10,3,13,1,W15,Fall from cliff,FALSE,FALSE,1,1,1
Diving or jumping into water causing injury other than drowning or submersion (W16),no.,2,0,2,2,0,2,1,W16,Diving or jumping into water causing injury other than drowning or submersion,FALSE,FALSE,1,1,NA
Other fall from one level to another (W17),no.,17,7,24,22,8,30,1.3,W17,Other fall from one level to another,FALSE,FALSE,1.25,1.2941176470588236,1.1428571428571428
Other fall on same level (W18),no.,87,84,171,89,88,177,1,W18,Other fall on same level,FALSE,FALSE,1.0350877192982457,1.0229885057471264,1.0476190476190477
Unspecified fall (W19),no.,1731,1673,3404,2079,1945,4024,1.2,W19,Unspecified fall,FALSE,FALSE,1.1821386603995299,1.2010398613518198,1.1625821876867901
Exposure to inanimate mechanical forces (W20-W49),no.,88,14,102,98,21,119,1.2,W20-W49,Exposure to inanimate mechanical forces,FALSE,FALSE,1.1666666666666667,1.1136363636363635,1.5
"Struck by thrown, projected or falling object (W20)",no.,27,5,32,30,6,36,1.1000000000000001,W20,"Struck by thrown, projected or falling object",FALSE,FALSE,1.125,1.1111111111111112,1.2
Striking against or struck by sports equipment (W21),no.,1,0,1,1,0,1,1,W21,Striking against or struck by sports equipment,FALSE,FALSE,1,1,NA
Striking against or struck by other objects (W22),no.,4,2,6,4,2,6,1,W22,Striking against or struck by other objects,FALSE,FALSE,1,1,1
"Caught, crushed, jammed or pinched in or between objects (W23)",no.,12,2,14,13,2,15,1.1000000000000001,W23,"Caught, crushed, jammed or pinched in or between objects",FALSE,FALSE,1.0714285714285714,1.0833333333333333,1
"Contact with lifting and transmission devices, not elsewhere classified (W24)",no.,9,3,12,9,3,12,1,W24,"Contact with lifting and transmission devices, not elsewhere classified",FALSE,FALSE,1,1,1
Contact with sharp glass (W25),no.,5,1,6,6,1,7,1.2,W25,Contact with sharp glass,FALSE,FALSE,1.1666666666666667,1.2,1
"Contact with knife, sword or dagger (W26)",no.,1,0,1,1,0,1,1,W26,"Contact with knife, sword or dagger",FALSE,FALSE,1,1,NA
Contact with nonpowered hand tool (W27),no.,1,0,1,1,0,1,1,W27,Contact with nonpowered hand tool,FALSE,FALSE,1,1,NA
Contact with powered lawnmower (W28),no.,2,0,2,2,3,5,2.5,W28,Contact with powered lawnmower,FALSE,FALSE,2.5,1,NA
Contact with other powered hand tools and household machinery (W29),no.,2,0,2,4,0,4,2,W29,Contact with other powered hand tools and household machinery,FALSE,FALSE,2,2,NA
Contact with agricultural machinery (W30),no.,3,0,3,3,0,3,1,W30,Contact with agricultural machinery,FALSE,FALSE,1,1,NA
Contact with other and unspecified machinery (W31),no.,12,0,12,12,0,12,1,W31,Contact with other and unspecified machinery,FALSE,FALSE,1,1,NA
Handgun discharge (W32),no.,0,0,0,0,0,0,—,W32,Handgun discharge,FALSE,FALSE,NA,NA,NA
"Rifle, shotgun and larger firearm discharge (W33)",no.,2,0,2,2,0,2,1,W33,"Rifle, shotgun and larger firearm discharge",FALSE,FALSE,1,1,NA
Discharge from other and unspecified firearms (W34),no.,0,0,0,0,0,0,—,W34,Discharge from other and unspecified firearms,FALSE,FALSE,NA,NA,NA
Explosion and rupture of boiler (W35),no.,0,0,0,0,0,0,—,W35,Explosion and rupture of boiler,FALSE,FALSE,NA,NA,NA
Explosion and rupture of gas cylinder (W36),no.,0,0,0,0,0,0,—,W36,Explosion and rupture of gas cylinder,FALSE,FALSE,NA,NA,NA
"Explosion and rupture of pressurized tyre, pipe or hose (W37)",no.,0,0,0,0,0,0,—,W37,"Explosion and rupture of pressurized tyre, pipe or hose",FALSE,FALSE,NA,NA,NA
Explosion and rupture of other specified pressurized devices (W38),no.,0,0,0,0,0,0,—,W38,Explosion and rupture of other specified pressurized devices,FALSE,FALSE,NA,NA,NA
Discharge of firework (W39),no.,0,0,0,0,0,0,—,W39,Discharge of firework,FALSE,FALSE,NA,NA,NA
Explosion of other materials (W40),no.,3,0,3,3,0,3,1,W40,Explosion of other materials,FALSE,FALSE,1,1,NA
Exposure to high-pressure jet (W41),no.,0,0,0,0,0,0,—,W41,Exposure to high-pressure jet,FALSE,FALSE,NA,NA,NA
Exposure to noise (W42),no.,0,0,0,0,0,0,—,W42,Exposure to noise,FALSE,FALSE,NA,NA,NA
Exposure to vibration (W43),no.,0,0,0,0,0,0,—,W43,Exposure to vibration,FALSE,FALSE,NA,NA,NA
Foreign body entering into or through eye or natural orifice (W44),no.,2,1,3,4,3,7,2.2999999999999998,W44,Foreign body entering into or through eye or natural orifice,FALSE,FALSE,2.3333333333333335,2,3
Foreign body or object entering through skin (W45),no.,0,0,0,0,0,0,—,W45,Foreign body or object entering through skin,FALSE,FALSE,NA,NA,NA
Contact with hypodermic needle (W46),no.,2,0,2,3,1,4,2,W46,Contact with hypodermic needle,FALSE,FALSE,2,1.5,NA
Exposure to other and unspecified inanimate mechanical forces (W49),no.,0,0,0,0,0,0,—,W49,Exposure to other and unspecified inanimate mechanical forces,FALSE,FALSE,NA,NA,NA
Exposure to animate mechanical forces (W50-W64),no.,11,6,17,17,7,24,1.4,W50-W64,Exposure to animate mechanical forces,FALSE,FALSE,1.411764705882353,1.5454545454545454,1.1666666666666667
"Hit, struck, kicked, twisted, bitten or scratched by another person (W50)",no.,1,1,2,1,1,2,1,W50,"Hit, struck, kicked, twisted, bitten or scratched by another person",FALSE,FALSE,1,1,1
Striking against or bumped into by another person (W51),no.,0,1,1,0,1,1,1,W51,Striking against or bumped into by another person,FALSE,FALSE,1,NA,1
"Crushed, pushed or stepped on by crowd or human stampede (W52)",no.,0,0,0,0,0,0,—,W52,"Crushed, pushed or stepped on by crowd or human stampede",FALSE,FALSE,NA,NA,NA
Bitten by rat (W53),no.,0,0,0,0,0,0,—,W53,Bitten by rat,FALSE,FALSE,NA,NA,NA
Bitten or struck by dog (W54),no.,3,0,3,5,1,6,2,W54,Bitten or struck by dog,FALSE,FALSE,2,1.6666666666666667,NA
Bitten or struck by other mammals (W55),no.,3,4,7,4,4,8,1.1000000000000001,W55,Bitten or struck by other mammals,FALSE,FALSE,1.1428571428571428,1.3333333333333333,1
Contact with marine animal (W56),no.,2,0,2,2,0,2,1,W56,Contact with marine animal,FALSE,FALSE,1,1,NA
Bitten or stung by nonvenomous insect and other nonvenomous arthropods (W57),no.,0,0,0,2,0,2,—,W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods,FALSE,FALSE,NA,NA,NA
Bitten or struck by crocodile or alligator (W58),no.,2,0,2,3,0,3,1.5,W58,Bitten or struck by crocodile or alligator,FALSE,FALSE,1.5,1.5,NA
Bitten or crushed by other reptiles (W59),no.,0,0,0,0,0,0,—,W59,Bitten or crushed by other reptiles,FALSE,FALSE,NA,NA,NA
Contact with plant thorns and spines and sharp leaves (W60),no.,0,0,0,0,0,0,—,W60,Contact with plant thorns and spines and sharp leaves,FALSE,FALSE,NA,NA,NA
Exposure to other and unspecified animate mechanical forces (W64),no.,0,0,0,0,0,0,—,W64,Exposure to other and unspecified animate mechanical forces,FALSE,FALSE,NA,NA,NA
Accidental drowning and submersion (W65-W74),no.,177,53,230,193,59,252,1.1000000000000001,W65-W74,Accidental drowning and submersion,FALSE,FALSE,1.0956521739130434,1.0903954802259888,1.1132075471698113
Drowning and submersion while in bath-tub (W65),no.,7,5,12,7,9,16,1.3,W65,Drowning and submersion while in bath-tub,FALSE,FALSE,1.3333333333333333,1,1.8
Drowning and submersion following fall into bath-tub (W66),no.,1,1,2,1,2,3,1.5,W66,Drowning and submersion following fall into bath-tub,FALSE,FALSE,1.5,1,2
Drowning and submersion while in swimming-pool (W67),no.,15,8,23,19,8,27,1.2,W67,Drowning and submersion while in swimming-pool,FALSE,FALSE,1.173913043478261,1.2666666666666666,1
Drowning and submersion following fall into swimming-pool (W68),no.,12,3,15,15,3,18,1.2,W68,Drowning and submersion following fall into swimming-pool,FALSE,FALSE,1.2,1.25,1
Drowning and submersion while in natural water (W69),no.,95,24,119,101,24,125,1.1000000000000001,W69,Drowning and submersion while in natural water,FALSE,FALSE,1.050420168067227,1.063157894736842,1
Drowning and submersion following fall into natural water (W70),no.,28,6,34,29,6,35,1,W70,Drowning and submersion following fall into natural water,FALSE,FALSE,1.0294117647058822,1.0357142857142858,1
Other specified drowning and submersion (W73),no.,3,2,5,4,2,6,1.2,W73,Other specified drowning and submersion,FALSE,FALSE,1.2,1.3333333333333333,1
Unspecified drowning and submersion (W74),no.,16,4,20,17,5,22,1.1000000000000001,W74,Unspecified drowning and submersion,FALSE,FALSE,1.1,1.0625,1.25
Other accidental threats to breathing (W75-W84),no.,152,103,255,824,615,1439,5.6,W75-W84,Other accidental threats to breathing,FALSE,FALSE,5.643137254901961,5.421052631578948,5.970873786407767
Accidental suffocation and strangulation in bed (W75),no.,3,3,6,3,3,6,1,W75,Accidental suffocation and strangulation in bed,FALSE,FALSE,1,1,1
Other accidental hanging and strangulation (W76),no.,9,2,11,11,2,13,1.2,W76,Other accidental hanging and strangulation,FALSE,FALSE,1.1818181818181819,1.2222222222222223,1
"Threat to breathing due to cave-in, falling earth and other substances (W77)",no.,0,0,0,0,0,0,—,W77,"Threat to breathing due to cave-in, falling earth and other substances",FALSE,FALSE,NA,NA,NA
Inhalation of gastric contents (W78),no.,1,1,2,22,25,47,23.5,W78,Inhalation of gastric contents,FALSE,FALSE,23.5,22,25
Inhalation and ingestion of food causing obstruction of respiratory tract (W79),no.,66,34,100,116,62,178,1.8,W79,Inhalation and ingestion of food causing obstruction of respiratory tract,FALSE,FALSE,1.78,1.7575757575757576,1.8235294117647058
Inhalation and ingestion of other objects causing obstruction of respiratory tract (W80),no.,70,61,131,666,517,1183,9,W80,Inhalation and ingestion of other objects causing obstruction of respiratory tract,FALSE,FALSE,9.030534351145038,9.514285714285714,8.475409836065573
Confined to or trapped in a low-oxygen environment (W81),no.,3,1,4,3,1,4,1,W81,Confined to or trapped in a low-oxygen environment,FALSE,FALSE,1,1,1
Other specified threats to breathing (W83),no.,0,1,1,3,5,8,8,W83,Other specified threats to breathing,FALSE,FALSE,8,NA,5
Unspecified threat to breathing (W84),no.,0,0,0,0,0,0,—,W84,Unspecified threat to breathing,FALSE,FALSE,NA,NA,NA
"Exposure to electric current, radiation and extreme ambient air temperature and pressure (W85-W99)",no.,9,1,10,11,1,12,1.2,W85-W99,"Exposure to electric current, radiation and extreme ambient air temperature and pressure",FALSE,FALSE,1.2,1.2222222222222223,1
Exposure to electric transmission lines (W85),no.,3,0,3,3,0,3,1,W85,Exposure to electric transmission lines,FALSE,FALSE,1,1,NA
Exposure to other specified electric current (W86),no.,3,1,4,4,1,5,1.3,W86,Exposure to other specified electric current,FALSE,FALSE,1.25,1.3333333333333333,1
Exposure to unspecified electric current (W87),no.,3,0,3,4,0,4,1.3,W87,Exposure to unspecified electric current,FALSE,FALSE,1.3333333333333333,1.3333333333333333,NA
Exposure to ionizing radiation (W88),no.,0,0,0,0,0,0,—,W88,Exposure to ionizing radiation,FALSE,FALSE,NA,NA,NA
Exposure to man-made visible and ultraviolet light (W89),no.,0,0,0,0,0,0,—,W89,Exposure to man-made visible and ultraviolet light,FALSE,FALSE,NA,NA,NA
Exposure to other nonionizing radiation (W90),no.,0,0,0,0,0,0,—,W90,Exposure to other nonionizing radiation,FALSE,FALSE,NA,NA,NA
Exposure to unspecified type of radiation (W91),no.,0,0,0,0,0,0,—,W91,Exposure to unspecified type of radiation,FALSE,FALSE,NA,NA,NA
Exposure to excessive heat of man-made origin (W92),no.,0,0,0,0,0,0,—,W92,Exposure to excessive heat of man-made origin,FALSE,FALSE,NA,NA,NA
Exposure to excessive cold of man-made origin (W93),no.,0,0,0,0,0,0,—,W93,Exposure to excessive cold of man-made origin,FALSE,FALSE,NA,NA,NA
Exposure to high and low air pressure and changes in air pressure (W94),no.,0,0,0,0,0,0,—,W94,Exposure to high and low air pressure and changes in air pressure,FALSE,FALSE,NA,NA,NA
Exposure to other and unspecified man-made environmental factors (W99),no.,0,0,0,0,0,0,—,W99,Exposure to other and unspecified man-made environmental factors,FALSE,FALSE,NA,NA,NA
"Exposure to smoke, fire and flames (X00-X09)",no.,50,23,73,53,26,79,1.1000000000000001,X00-X09,"Exposure to smoke, fire and flames",FALSE,FALSE,1.082191780821918,1.06,1.1304347826086956
Exposure to uncontrolled fire in building or structure (X00),no.,43,16,59,43,16,59,1,X00,Exposure to uncontrolled fire in building or structure,FALSE,FALSE,1,1,1
"Exposure to uncontrolled fire, not in building or structure (X01)",no.,2,0,2,2,1,3,1.5,X01,"Exposure to uncontrolled fire, not in building or structure",FALSE,FALSE,1.5,1,NA
Exposure to controlled fire in building or structure (X02),no.,1,1,2,1,1,2,1,X02,Exposure to controlled fire in building or structure,FALSE,FALSE,1,1,1
"Exposure to controlled fire, not in building or structure (X03)",no.,0,0,0,0,0,0,—,X03,"Exposure to controlled fire, not in building or structure",FALSE,FALSE,NA,NA,NA
Exposure to ignition of highly flammable material (X04),no.,1,1,2,1,1,2,1,X04,Exposure to ignition of highly flammable material,FALSE,FALSE,1,1,1
Exposure to ignition or melting of nightwear (X05),no.,0,0,0,0,0,0,—,X05,Exposure to ignition or melting of nightwear,FALSE,FALSE,NA,NA,NA
Exposure to ignition or melting of other clothing and apparel (X06),no.,0,2,2,0,2,2,1,X06,Exposure to ignition or melting of other clothing and apparel,FALSE,FALSE,1,NA,1
"Exposure to other specified smoke, fire and flames (X08)",no.,0,0,0,0,0,0,—,X08,"Exposure to other specified smoke, fire and flames",FALSE,FALSE,NA,NA,NA
"Exposure to unspecified smoke, fire and flames (X09)",no.,3,3,6,6,5,11,1.8,X09,"Exposure to unspecified smoke, fire and flames",FALSE,FALSE,1.8333333333333333,2,1.6666666666666667
Contact with heat and hot substances (X10-X19),no.,7,0,7,9,1,10,1.4,X10-X19,Contact with heat and hot substances,FALSE,FALSE,1.4285714285714286,1.2857142857142858,NA
"Contact with hot drinks, food, fats and cooking oils (X10)",no.,0,0,0,0,0,0,—,X10,"Contact with hot drinks, food, fats and cooking oils",FALSE,FALSE,NA,NA,NA
Contact with hot tap-water (X11),no.,5,0,5,5,1,6,1.2,X11,Contact with hot tap-water,FALSE,FALSE,1.2,1,NA
Contact with other hot fluids (X12),no.,0,0,0,0,0,0,—,X12,Contact with other hot fluids,FALSE,FALSE,NA,NA,NA
Contact with steam and hot vapours (X13),no.,0,0,0,0,0,0,—,X13,Contact with steam and hot vapours,FALSE,FALSE,NA,NA,NA
Contact with hot air and gases (X14),no.,0,0,0,0,0,0,—,X14,Contact with hot air and gases,FALSE,FALSE,NA,NA,NA
Contact with hot household appliances (X15),no.,0,0,0,0,0,0,—,X15,Contact with hot household appliances,FALSE,FALSE,NA,NA,NA
"Contact with hot heating appliances, radiators and pipes (X16)",no.,0,0,0,0,0,0,—,X16,"Contact with hot heating appliances, radiators and pipes",FALSE,FALSE,NA,NA,NA
"Contact with hot engines, machinery and tools (X17)",no.,0,0,0,0,0,0,—,X17,"Contact with hot engines, machinery and tools",FALSE,FALSE,NA,NA,NA
Contact with other hot metals (X18),no.,0,0,0,0,0,0,—,X18,Contact with other hot metals,FALSE,FALSE,NA,NA,NA
