cause_icd10,unit,mc_count_male,mc_count_female,mc_count_persons,mc_asr_male,mc_asr_female,mc_asr_persons,icd10_code,cause_name,is_chapter,is_total
Pedestrian injured in collision with railway train or railway vehicle (V05),no.,9,4,13,NA,NA,NA,V05,Pedestrian injured in collision with railway train or railway vehicle,FALSE,FALSE
Pedestrian injured in collision with other nonmotor vehicle (V06),no.,0,0,0,NA,NA,NA,V06,Pedestrian injured in collision with other nonmotor vehicle,FALSE,FALSE
Pedestrian injured in other and unspecified transport accidents (V09),no.,29,6,35,0.2,NA,0.1,V09,Pedestrian injured in other and unspecified transport accidents,FALSE,FALSE
Pedal cyclist injured in transport accident (V10-V19),no.,36,4,40,0.3,NA,0.1,V10-V19,Pedal cyclist injured in transport accident,FALSE,FALSE
Pedal cyclist injured in collision with pedestrian or animal (V10),no.,2,0,2,NA,NA,NA,V10,Pedal cyclist injured in collision with pedestrian or animal,FALSE,FALSE
Pedal cyclist injured in collision with other pedal cycle (V11),no.,1,0,1,NA,NA,NA,V11,Pedal cyclist injured in collision with other pedal cycle,FALSE,FALSE
Pedal cyclist injured in collision with two- or three-wheeled motor vehicle (V12),no.,0,0,0,NA,NA,NA,V12,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Pedal cyclist injured in collision with car, pick-up truck or van (V13)",no.,15,1,16,NA,NA,NA,V13,"Pedal cyclist injured in collision with car, pick-up truck or van",FALSE,FALSE
Pedal cyclist injured in collision with heavy transport vehicle or bus (V14),no.,4,1,5,NA,NA,NA,V14,Pedal cyclist injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Pedal cyclist injured in collision with railway train or railway vehicle (V15),no.,0,0,0,NA,NA,NA,V15,Pedal cyclist injured in collision with railway train or railway vehicle,FALSE,FALSE
Pedal cyclist injured in collision with other nonmotor vehicle (V16),no.,0,0,0,NA,NA,NA,V16,Pedal cyclist injured in collision with other nonmotor vehicle,FALSE,FALSE
Pedal cyclist injured in collision with fixed or stationary object (V17),no.,4,0,4,NA,NA,NA,V17,Pedal cyclist injured in collision with fixed or stationary object,FALSE,FALSE
Pedal cyclist injured in noncollision transport accident (V18),no.,7,1,8,NA,NA,NA,V18,Pedal cyclist injured in noncollision transport accident,FALSE,FALSE
Pedal cyclist injured in other and unspecified transport accidents (V19),no.,3,1,4,NA,NA,NA,V19,Pedal cyclist injured in other and unspecified transport accidents,FALSE,FALSE
Motorcycle rider injured in transport accident (V20-V29),no.,278,17,295,2,NA,1.1,V20-V29,Motorcycle rider injured in transport accident,FALSE,FALSE
Motorcycle rider injured in collision with pedestrian or animal (V20),no.,6,0,6,NA,NA,NA,V20,Motorcycle rider injured in collision with pedestrian or animal,FALSE,FALSE
Motorcycle rider injured in collision with pedal cycle (V21),no.,1,0,1,NA,NA,NA,V21,Motorcycle rider injured in collision with pedal cycle,FALSE,FALSE
Motorcycle rider injured in collision with two- or three-wheeled motor vehicle (V22),no.,6,1,7,NA,NA,NA,V22,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Motorcycle rider injured in collision with car, pick-up truck or van (V23)",no.,114,7,121,0.8,NA,0.4,V23,"Motorcycle rider injured in collision with car, pick-up truck or van",FALSE,FALSE
Motorcycle rider injured in collision with heavy transport vehicle or bus (V24),no.,15,1,16,NA,NA,NA,V24,Motorcycle rider injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Motorcycle rider injured in collision with railway train or railway vehicle (V25),no.,1,0,1,NA,NA,NA,V25,Motorcycle rider injured in collision with railway train or railway vehicle,FALSE,FALSE
Motorcycle rider injured in collision with other nonmotor vehicle (V26),no.,0,0,0,NA,NA,NA,V26,Motorcycle rider injured in collision with other nonmotor vehicle,FALSE,FALSE
Motorcycle rider injured in collision with fixed or stationary object (V27),no.,84,6,90,0.6,NA,0.3,V27,Motorcycle rider injured in collision with fixed or stationary object,FALSE,FALSE
Motorcycle rider injured in noncollision transport accident (V28),no.,33,2,35,0.2,NA,0.1,V28,Motorcycle rider injured in noncollision transport accident,FALSE,FALSE
Motorcycle rider injured in other and unspecified transport accidents (V29),no.,18,0,18,NA,NA,NA,V29,Motorcycle rider injured in other and unspecified transport accidents,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in transport accident (V30-V39),no.,1,0,1,NA,NA,NA,V30-V39,Occupant of three-wheeled motor vehicle injured in transport accident,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal (V30),no.,0,0,0,NA,NA,NA,V30,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with pedal cycle (V31),no.,0,0,0,NA,NA,NA,V31,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle (V32),no.,0,0,0,NA,NA,NA,V32,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van (V33)",no.,0,0,0,NA,NA,NA,V33,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van",FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus (V34),no.,0,0,0,NA,NA,NA,V34,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle (V35),no.,0,0,0,NA,NA,NA,V35,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle (V36),no.,0,0,0,NA,NA,NA,V36,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object (V37),no.,1,0,1,NA,NA,NA,V37,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in noncollision transport accident (V38),no.,0,0,0,NA,NA,NA,V38,Occupant of three-wheeled motor vehicle injured in noncollision transport accident,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents (V39),no.,0,0,0,NA,NA,NA,V39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents,FALSE,FALSE
Car occupant injured in transport accident (V40-V49),no.,442,205,647,3.2,1.4,2.3,V40-V49,Car occupant injured in transport accident,FALSE,FALSE
Car occupant injured in collision with pedestrian or animal (V40),no.,1,0,1,NA,NA,NA,V40,Car occupant injured in collision with pedestrian or animal,FALSE,FALSE
Car occupant injured in collision with pedal cycle (V41),no.,0,0,0,NA,NA,NA,V41,Car occupant injured in collision with pedal cycle,FALSE,FALSE
Car occupant injured in collision with two- or three-wheeled motor vehicle (V42),no.,3,0,3,NA,NA,NA,V42,Car occupant injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Car occupant injured in collision with car, pick-up truck or van (V43)",no.,124,82,206,0.9,0.5,0.7,V43,"Car occupant injured in collision with car, pick-up truck or van",FALSE,FALSE
Car occupant injured in collision with heavy transport vehicle or bus (V44),no.,49,31,80,0.3,0.2,0.3,V44,Car occupant injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Car occupant injured in collision with railway train or railway vehicle (V45),no.,1,0,1,NA,NA,NA,V45,Car occupant injured in collision with railway train or railway vehicle,FALSE,FALSE
Car occupant injured in collision with other nonmotor vehicle (V46),no.,0,0,0,NA,NA,NA,V46,Car occupant injured in collision with other nonmotor vehicle,FALSE,FALSE
Car occupant injured in collision with fixed or stationary object (V47),no.,187,59,246,1.3,0.4,0.9,V47,Car occupant injured in collision with fixed or stationary object,FALSE,FALSE
Car occupant injured in noncollision transport accident (V48),no.,68,29,97,0.5,0.2,0.3,V48,Car occupant injured in noncollision transport accident,FALSE,FALSE
Car occupant injured in other and unspecified transport accidents (V49),no.,11,4,15,NA,NA,NA,V49,Car occupant injured in other and unspecified transport accidents,FALSE,FALSE
Occupant of pick-up truck or van injured in transport accident (V50-V59),no.,8,2,10,NA,NA,NA,V50-V59,Occupant of pick-up truck or van injured in transport accident,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with pedestrian or animal (V50),no.,0,0,0,NA,NA,NA,V50,Occupant of pick-up truck or van injured in collision with pedestrian or animal,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with pedal cycle (V51),no.,0,0,0,NA,NA,NA,V51,Occupant of pick-up truck or van injured in collision with pedal cycle,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle (V52),no.,0,0,0,NA,NA,NA,V52,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van (V53)",no.,3,1,4,NA,NA,NA,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",FALSE,FALSE
Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus (V54),no.,2,0,2,NA,NA,NA,V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with railway train or railway vehicle (V55),no.,0,0,0,NA,NA,NA,V55,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with other nonmotor vehicle (V56),no.,0,0,0,NA,NA,NA,V56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with fixed or stationary object (V57),no.,2,1,3,NA,NA,NA,V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object,FALSE,FALSE
Occupant of pick-up truck or van injured in noncollision transport accident (V58),no.,1,0,1,NA,NA,NA,V58,Occupant of pick-up truck or van injured in noncollision transport accident,FALSE,FALSE
Occupant of pick-up truck or van injured in other and unspecified transport accidents (V59),no.,0,0,0,NA,NA,NA,V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents,FALSE,FALSE
Occupant of heavy transport vehicle injured in transport accident (V60-V69),no.,45,3,48,0.3,NA,0.2,V60-V69,Occupant of heavy transport vehicle injured in transport accident,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with pedestrian or animal (V60),no.,1,0,1,NA,NA,NA,V60,Occupant of heavy transport vehicle injured in collision with pedestrian or animal,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with pedal cycle (V61),no.,0,0,0,NA,NA,NA,V61,Occupant of heavy transport vehicle injured in collision with pedal cycle,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle (V62),no.,0,0,0,NA,NA,NA,V62,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van (V63)",no.,6,0,6,NA,NA,NA,V63,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van",FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus (V64),no.,18,1,19,NA,NA,NA,V64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle (V65),no.,1,0,1,NA,NA,NA,V65,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle (V66),no.,0,0,0,NA,NA,NA,V66,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with fixed or stationary object (V67),no.,12,1,13,NA,NA,NA,V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object,FALSE,FALSE
Occupant of heavy transport vehicle injured in noncollision transport accident (V68),no.,6,1,7,NA,NA,NA,V68,Occupant of heavy transport vehicle injured in noncollision transport accident,FALSE,FALSE
Occupant of heavy transport vehicle injured in other and unspecified transport accidents (V69),no.,1,0,1,NA,NA,NA,V69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents,FALSE,FALSE
Bus occupant injured in transport accident (V70-V79),no.,4,3,7,NA,NA,NA,V70-V79,Bus occupant injured in transport accident,FALSE,FALSE
Bus occupant injured in collision with pedestrian or animal (V70),no.,0,0,0,NA,NA,NA,V70,Bus occupant injured in collision with pedestrian or animal,FALSE,FALSE
Bus occupant injured in collision with pedal cycle (V71),no.,0,0,0,NA,NA,NA,V71,Bus occupant injured in collision with pedal cycle,FALSE,FALSE
Bus occupant injured in collision with two- or three-wheeled motor vehicle (V72),no.,0,1,1,NA,NA,NA,V72,Bus occupant injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Bus occupant injured in collision with car, pick-up truck or van (V73)",no.,0,2,2,NA,NA,NA,V73,"Bus occupant injured in collision with car, pick-up truck or van",FALSE,FALSE
Bus occupant injured in collision with heavy transport vehicle or bus (V74),no.,0,0,0,NA,NA,NA,V74,Bus occupant injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Bus occupant injured in collision with railway train or railway vehicle (V75),no.,0,0,0,NA,NA,NA,V75,Bus occupant injured in collision with railway train or railway vehicle,FALSE,FALSE
Bus occupant injured in collision with other nonmotor vehicle (V76),no.,0,0,0,NA,NA,NA,V76,Bus occupant injured in collision with other nonmotor vehicle,FALSE,FALSE
Bus occupant injured in collision with fixed or stationary object (V77),no.,1,0,1,NA,NA,NA,V77,Bus occupant injured in collision with fixed or stationary object,FALSE,FALSE
Bus occupant injured in noncollision transport accident (V78),no.,3,0,3,NA,NA,NA,V78,Bus occupant injured in noncollision transport accident,FALSE,FALSE
Bus occupant injured in other and unspecified transport accidents (V79),no.,0,0,0,NA,NA,NA,V79,Bus occupant injured in other and unspecified transport accidents,FALSE,FALSE
Other land transport accidents (V80-V89),no.,109,23,132,0.8,0.1,0.4,V80-V89,Other land transport accidents,FALSE,FALSE
Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),no.,5,2,7,NA,NA,NA,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident,FALSE,FALSE
Occupant of railway train or railway vehicle injured in transport accident (V81),no.,3,0,3,NA,NA,NA,V81,Occupant of railway train or railway vehicle injured in transport accident,FALSE,FALSE
Occupant of streetcar injured in transport accident (V82),no.,1,0,1,NA,NA,NA,V82,Occupant of streetcar injured in transport accident,FALSE,FALSE
Occupant of special vehicle mainly used on industrial premises injured in transport accident (V83),no.,5,0,5,NA,NA,NA,V83,Occupant of special vehicle mainly used on industrial premises injured in transport accident,FALSE,FALSE
Occupant of special vehicle mainly used in agriculture injured in transport accident (V84),no.,17,4,21,NA,NA,0.1,V84,Occupant of special vehicle mainly used in agriculture injured in transport accident,FALSE,FALSE
Occupant of special construction vehicle injured in transport accident (V85),no.,1,0,1,NA,NA,NA,V85,Occupant of special construction vehicle injured in transport accident,FALSE,FALSE
"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident (V86)",no.,36,5,41,0.2,NA,0.1,V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident",FALSE,FALSE
Traffic accident of specified type but victim's mode of transport unknown (V87),no.,0,0,0,NA,NA,NA,V87,Traffic accident of specified type but victim's mode of transport unknown,FALSE,FALSE
Nontraffic accident of specified type but victim's mode of transport unknown (V88),no.,0,0,0,NA,NA,NA,V88,Nontraffic accident of specified type but victim's mode of transport unknown,FALSE,FALSE
"Motor- or nonmotor-vehicle accident, type of vehicle unspecified (V89)",no.,41,12,53,0.3,NA,0.2,V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified",FALSE,FALSE
Water transport accidents (V90-V94),no.,38,6,44,0.3,NA,0.1,V90-V94,Water transport accidents,FALSE,FALSE
Accident to watercraft causing drowning and submersion (V90),no.,19,0,19,NA,NA,NA,V90,Accident to watercraft causing drowning and submersion,FALSE,FALSE
Accident to watercraft causing other injury (V91),no.,3,3,6,NA,NA,NA,V91,Accident to watercraft causing other injury,FALSE,FALSE
Water-transport-related drowning and submersion without accident to watercraft (V92),no.,11,1,12,NA,NA,NA,V92,Water-transport-related drowning and submersion without accident to watercraft,FALSE,FALSE
"Accident on board watercraft without accident to watercraft, not causing drowning and submersion (V93)",no.,4,1,5,NA,NA,NA,V93,"Accident on board watercraft without accident to watercraft, not causing drowning and submersion",FALSE,FALSE
Other and unspecified water transport accidents (V94),no.,1,1,2,NA,NA,NA,V94,Other and unspecified water transport accidents,FALSE,FALSE
Air and space transport accidents (V95-V97),no.,29,2,31,0.2,NA,0.1,V95-V97,Air and space transport accidents,FALSE,FALSE
Accident to powered aircraft causing injury to occupant (V95),no.,23,2,25,0.2,NA,0.1,V95,Accident to powered aircraft causing injury to occupant,FALSE,FALSE
Accident to nonpowered aircraft causing injury to occupant (V96),no.,2,0,2,NA,NA,NA,V96,Accident to nonpowered aircraft causing injury to occupant,FALSE,FALSE
Other specified air transport accidents (V97),no.,4,0,4,NA,NA,NA,V97,Other specified air transport accidents,FALSE,FALSE
Other and unspecified transport accidents (V98-V99),no.,0,0,0,NA,NA,NA,V98-V99,Other and unspecified transport accidents,FALSE,FALSE
Other specified transport accidents (V98),no.,0,0,0,NA,NA,NA,V98,Other specified transport accidents,FALSE,FALSE
Unspecified transport accident (V99),no.,0,0,0,NA,NA,NA,V99,Unspecified transport accident,FALSE,FALSE
Other external causes of accidental injury (W00-X59),no.,5939,4726,10665,37.5,22.7,29.7,W00-X59,Other external causes of accidental injury,FALSE,FALSE
Falls (W00-W19),no.,2601,2340,4941,15.4,10.3,12.6,W00-W19,Falls,FALSE,FALSE
Fall on same level involving ice and snow (W00),no.,0,0,0,NA,NA,NA,W00,Fall on same level involving ice and snow,FALSE,FALSE
"Fall on same level from slipping, tripping and stumbling (W01)",no.,162,151,313,1,0.7,0.8,W01,"Fall on same level from slipping, tripping and stumbling",FALSE,FALSE
"Fall involving ice-skates, skis, roller-skates or skateboards (W02)",no.,0,0,0,NA,NA,NA,W02,"Fall involving ice-skates, skis, roller-skates or skateboards",FALSE,FALSE
"Other fall on same level due to collision with, or pushing by, another person (W03)",no.,2,5,7,NA,NA,NA,W03,"Other fall on same level due to collision with, or pushing by, another person",FALSE,FALSE
Fall while being carried or supported by other persons (W04),no.,2,1,3,NA,NA,NA,W04,Fall while being carried or supported by other persons,FALSE,FALSE
Fall involving wheelchair (W05),no.,10,7,17,NA,NA,NA,W05,Fall involving wheelchair,FALSE,FALSE
Fall involving bed (W06),no.,49,57,106,0.3,0.2,0.3,W06,Fall involving bed,FALSE,FALSE
Fall involving chair (W07),no.,31,28,59,0.2,0.1,0.2,W07,Fall involving chair,FALSE,FALSE
Fall involving other furniture (W08),no.,6,4,10,NA,NA,NA,W08,Fall involving other furniture,FALSE,FALSE
Fall involving playground equipment (W09),no.,0,0,0,NA,NA,NA,W09,Fall involving playground equipment,FALSE,FALSE
Fall on and from stairs and steps (W10),no.,73,38,111,0.4,0.2,0.3,W10,Fall on and from stairs and steps,FALSE,FALSE
Fall on and from ladder (W11),no.,33,4,37,0.2,NA,0.1,W11,Fall on and from ladder,FALSE,FALSE
Fall on and from scaffolding (W12),no.,1,0,1,NA,NA,NA,W12,Fall on and from scaffolding,FALSE,FALSE
"Fall from, out of or through building or structure (W13)",no.,33,1,34,0.2,NA,0.1,W13,"Fall from, out of or through building or structure",FALSE,FALSE
Fall from tree (W14),no.,1,0,1,NA,NA,NA,W14,Fall from tree,FALSE,FALSE
Fall from cliff (W15),no.,10,3,13,NA,NA,NA,W15,Fall from cliff,FALSE,FALSE
Diving or jumping into water causing injury other than drowning or submersion (W16),no.,2,0,2,NA,NA,NA,W16,Diving or jumping into water causing injury other than drowning or submersion,FALSE,FALSE
Other fall from one level to another (W17),no.,22,8,30,0.1,NA,0.1,W17,Other fall from one level to another,FALSE,FALSE
Other fall on same level (W18),no.,89,88,177,0.5,0.4,0.4,W18,Other fall on same level,FALSE,FALSE
Unspecified fall (W19),no.,2079,1945,4024,12.3,8.5,10.2,W19,Unspecified fall,FALSE,FALSE
Exposure to inanimate mechanical forces (W20-W49),no.,96,21,117,0.7,0.1,0.4,W20-W49,Exposure to inanimate mechanical forces,FALSE,FALSE
"Struck by thrown, projected or falling object (W20)",no.,30,6,36,0.2,NA,0.1,W20,"Struck by thrown, projected or falling object",FALSE,FALSE
Striking against or struck by sports equipment (W21),no.,1,0,1,NA,NA,NA,W21,Striking against or struck by sports equipment,FALSE,FALSE
Striking against or struck by other objects (W22),no.,4,2,6,NA,NA,NA,W22,Striking against or struck by other objects,FALSE,FALSE
"Caught, crushed, jammed or pinched in or between objects (W23)",no.,13,2,15,NA,NA,NA,W23,"Caught, crushed, jammed or pinched in or between objects",FALSE,FALSE
"Contact with lifting and transmission devices, not elsewhere classified (W24)",no.,9,3,12,NA,NA,NA,W24,"Contact with lifting and transmission devices, not elsewhere classified",FALSE,FALSE
Contact with sharp glass (W25),no.,6,1,7,NA,NA,NA,W25,Contact with sharp glass,FALSE,FALSE
"Contact with knife, sword or dagger (W26)",no.,1,0,1,NA,NA,NA,W26,"Contact with knife, sword or dagger",FALSE,FALSE
Contact with nonpowered hand tool (W27),no.,1,0,1,NA,NA,NA,W27,Contact with nonpowered hand tool,FALSE,FALSE
Contact with powered lawnmower (W28),no.,2,3,5,NA,NA,NA,W28,Contact with powered lawnmower,FALSE,FALSE
Contact with other powered hand tools and household machinery (W29),no.,4,0,4,NA,NA,NA,W29,Contact with other powered hand tools and household machinery,FALSE,FALSE
Contact with agricultural machinery (W30),no.,3,0,3,NA,NA,NA,W30,Contact with agricultural machinery,FALSE,FALSE
Contact with other and unspecified machinery (W31),no.,12,0,12,NA,NA,NA,W31,Contact with other and unspecified machinery,FALSE,FALSE
Handgun discharge (W32),no.,0,0,0,NA,NA,NA,W32,Handgun discharge,FALSE,FALSE
"Rifle, shotgun and larger firearm discharge (W33)",no.,2,0,2,NA,NA,NA,W33,"Rifle, shotgun and larger firearm discharge",FALSE,FALSE
Discharge from other and unspecified firearms (W34),no.,0,0,0,NA,NA,NA,W34,Discharge from other and unspecified firearms,FALSE,FALSE
Explosion and rupture of boiler (W35),no.,0,0,0,NA,NA,NA,W35,Explosion and rupture of boiler,FALSE,FALSE
Explosion and rupture of gas cylinder (W36),no.,0,0,0,NA,NA,NA,W36,Explosion and rupture of gas cylinder,FALSE,FALSE
"Explosion and rupture of pressurized tyre, pipe or hose (W37)",no.,0,0,0,NA,NA,NA,W37,"Explosion and rupture of pressurized tyre, pipe or hose",FALSE,FALSE
Explosion and rupture of other specified pressurized devices (W38),no.,0,0,0,NA,NA,NA,W38,Explosion and rupture of other specified pressurized devices,FALSE,FALSE
Discharge of firework (W39),no.,0,0,0,NA,NA,NA,W39,Discharge of firework,FALSE,FALSE
Explosion of other materials (W40),no.,3,0,3,NA,NA,NA,W40,Explosion of other materials,FALSE,FALSE
Exposure to high-pressure jet (W41),no.,0,0,0,NA,NA,NA,W41,Exposure to high-pressure jet,FALSE,FALSE
Exposure to noise (W42),no.,0,0,0,NA,NA,NA,W42,Exposure to noise,FALSE,FALSE
Exposure to vibration (W43),no.,0,0,0,NA,NA,NA,W43,Exposure to vibration,FALSE,FALSE
Foreign body entering into or through eye or natural orifice (W44),no.,4,3,7,NA,NA,NA,W44,Foreign body entering into or through eye or natural orifice,FALSE,FALSE
Foreign body or object entering through skin (W45),no.,0,0,0,NA,NA,NA,W45,Foreign body or object entering through skin,FALSE,FALSE
Contact with hypodermic needle (W46),no.,3,1,4,NA,NA,NA,W46,Contact with hypodermic needle,FALSE,FALSE
Exposure to other and unspecified inanimate mechanical forces (W49),no.,0,0,0,NA,NA,NA,W49,Exposure to other and unspecified inanimate mechanical forces,FALSE,FALSE
Exposure to animate mechanical forces (W50-W64),no.,17,7,24,NA,NA,0.1,W50-W64,Exposure to animate mechanical forces,FALSE,FALSE
"Hit, struck, kicked, twisted, bitten or scratched by another person (W50)",no.,1,1,2,NA,NA,NA,W50,"Hit, struck, kicked, twisted, bitten or scratched by another person",FALSE,FALSE
Striking against or bumped into by another person (W51),no.,0,1,1,NA,NA,NA,W51,Striking against or bumped into by another person,FALSE,FALSE
"Crushed, pushed or stepped on by crowd or human stampede (W52)",no.,0,0,0,NA,NA,NA,W52,"Crushed, pushed or stepped on by crowd or human stampede",FALSE,FALSE
Bitten by rat (W53),no.,0,0,0,NA,NA,NA,W53,Bitten by rat,FALSE,FALSE
Bitten or struck by dog (W54),no.,5,1,6,NA,NA,NA,W54,Bitten or struck by dog,FALSE,FALSE
Bitten or struck by other mammals (W55),no.,4,4,8,NA,NA,NA,W55,Bitten or struck by other mammals,FALSE,FALSE
Contact with marine animal (W56),no.,2,0,2,NA,NA,NA,W56,Contact with marine animal,FALSE,FALSE
Bitten or stung by nonvenomous insect and other nonvenomous arthropods (W57),no.,2,0,2,NA,NA,NA,W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods,FALSE,FALSE
Bitten or struck by crocodile or alligator (W58),no.,3,0,3,NA,NA,NA,W58,Bitten or struck by crocodile or alligator,FALSE,FALSE
Bitten or crushed by other reptiles (W59),no.,0,0,0,NA,NA,NA,W59,Bitten or crushed by other reptiles,FALSE,FALSE
Contact with plant thorns and spines and sharp leaves (W60),no.,0,0,0,NA,NA,NA,W60,Contact with plant thorns and spines and sharp leaves,FALSE,FALSE
Exposure to other and unspecified animate mechanical forces (W64),no.,0,0,0,NA,NA,NA,W64,Exposure to other and unspecified animate mechanical forces,FALSE,FALSE
Accidental drowning and submersion (W65-W74),no.,193,59,252,1.4,0.4,0.9,W65-W74,Accidental drowning and submersion,FALSE,FALSE
Drowning and submersion while in bath-tub (W65),no.,7,9,16,NA,NA,NA,W65,Drowning and submersion while in bath-tub,FALSE,FALSE
Drowning and submersion following fall into bath-tub (W66),no.,1,2,3,NA,NA,NA,W66,Drowning and submersion following fall into bath-tub,FALSE,FALSE
Drowning and submersion while in swimming-pool (W67),no.,19,8,27,NA,NA,0.1,W67,Drowning and submersion while in swimming-pool,FALSE,FALSE
Drowning and submersion following fall into swimming-pool (W68),no.,15,3,18,NA,NA,NA,W68,Drowning and submersion following fall into swimming-pool,FALSE,FALSE
Drowning and submersion while in natural water (W69),no.,101,24,125,0.7,0.2,0.4,W69,Drowning and submersion while in natural water,FALSE,FALSE
Drowning and submersion following fall into natural water (W70),no.,29,6,35,0.2,NA,0.1,W70,Drowning and submersion following fall into natural water,FALSE,FALSE
Other specified drowning and submersion (W73),no.,4,2,6,NA,NA,NA,W73,Other specified drowning and submersion,FALSE,FALSE
Unspecified drowning and submersion (W74),no.,17,5,22,NA,NA,0.1,W74,Unspecified drowning and submersion,FALSE,FALSE
Other accidental threats to breathing (W75-W84),no.,823,614,1437,5,3,3.9,W75-W84,Other accidental threats to breathing,FALSE,FALSE
Accidental suffocation and strangulation in bed (W75),no.,3,3,6,NA,NA,NA,W75,Accidental suffocation and strangulation in bed,FALSE,FALSE
Other accidental hanging and strangulation (W76),no.,11,2,13,NA,NA,NA,W76,Other accidental hanging and strangulation,FALSE,FALSE
"Threat to breathing due to cave-in, falling earth and other substances (W77)",no.,0,0,0,NA,NA,NA,W77,"Threat to breathing due to cave-in, falling earth and other substances",FALSE,FALSE
Inhalation of gastric contents (W78),no.,22,25,47,0.1,0.1,0.1,W78,Inhalation of gastric contents,FALSE,FALSE
Inhalation and ingestion of food causing obstruction of respiratory tract (W79),no.,116,62,178,0.7,0.3,0.5,W79,Inhalation and ingestion of food causing obstruction of respiratory tract,FALSE,FALSE
Inhalation and ingestion of other objects causing obstruction of respiratory tract (W80),no.,666,517,1183,4,2.5,3.1,W80,Inhalation and ingestion of other objects causing obstruction of respiratory tract,FALSE,FALSE
