cause_icd10,unit,reported_alone,with_1_other,with_2_other,with_3_other,with_4_other,with_5_plus,icd10_code,cause_name,is_chapter,is_total
Pedal cyclist injured in collision with railway train or railway vehicle (V15),no.,0,0,0,0,0,NA,V15,Pedal cyclist injured in collision with railway train or railway vehicle,FALSE,FALSE
Pedal cyclist injured in collision with other nonmotor vehicle (V16),no.,0,0,0,0,0,NA,V16,Pedal cyclist injured in collision with other nonmotor vehicle,FALSE,FALSE
Pedal cyclist injured in collision with fixed or stationary object (V17),no.,0,0,2,1,1,4,V17,Pedal cyclist injured in collision with fixed or stationary object,FALSE,FALSE
Pedal cyclist injured in noncollision transport accident (V18),no.,0,3,0,4,1,4,V18,Pedal cyclist injured in noncollision transport accident,FALSE,FALSE
Pedal cyclist injured in other and unspecified transport accidents (V19),no.,0,2,0,0,1,3.3,V19,Pedal cyclist injured in other and unspecified transport accidents,FALSE,FALSE
Motorcycle rider injured in transport accident (V20-V29),no.,0,150,49,39,54,3.2,V20-V29,Motorcycle rider injured in transport accident,FALSE,FALSE
Motorcycle rider injured in collision with pedestrian or animal (V20),no.,0,2,2,1,1,3.2,V20,Motorcycle rider injured in collision with pedestrian or animal,FALSE,FALSE
Motorcycle rider injured in collision with pedal cycle (V21),no.,0,1,0,0,0,2,V21,Motorcycle rider injured in collision with pedal cycle,FALSE,FALSE
Motorcycle rider injured in collision with two- or three-wheeled motor vehicle (V22),no.,0,4,1,0,2,3.1,V22,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Motorcycle rider injured in collision with car, pick-up truck or van (V23)",no.,0,69,21,12,18,3,V23,"Motorcycle rider injured in collision with car, pick-up truck or van",FALSE,FALSE
Motorcycle rider injured in collision with heavy transport vehicle or bus (V24),no.,0,11,3,1,1,2.6,V24,Motorcycle rider injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Motorcycle rider injured in collision with railway train or railway vehicle (V25),no.,0,1,0,0,0,2,V25,Motorcycle rider injured in collision with railway train or railway vehicle,FALSE,FALSE
Motorcycle rider injured in collision with other nonmotor vehicle (V26),no.,0,0,0,0,0,NA,V26,Motorcycle rider injured in collision with other nonmotor vehicle,FALSE,FALSE
Motorcycle rider injured in collision with fixed or stationary object (V27),no.,0,36,15,21,18,3.4,V27,Motorcycle rider injured in collision with fixed or stationary object,FALSE,FALSE
Motorcycle rider injured in noncollision transport accident (V28),no.,0,12,6,4,12,4.1,V28,Motorcycle rider injured in noncollision transport accident,FALSE,FALSE
Motorcycle rider injured in other and unspecified transport accidents (V29),no.,0,14,1,0,2,2.6,V29,Motorcycle rider injured in other and unspecified transport accidents,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in transport accident (V30-V39),no.,0,0,0,0,1,7,V30-V39,Occupant of three-wheeled motor vehicle injured in transport accident,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal (V30),no.,0,0,0,0,0,NA,V30,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with pedal cycle (V31),no.,0,0,0,0,0,NA,V31,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle (V32),no.,0,0,0,0,0,NA,V32,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van (V33)",no.,0,0,0,0,0,NA,V33,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van",FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus (V34),no.,0,0,0,0,0,NA,V34,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle (V35),no.,0,0,0,0,0,NA,V35,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle (V36),no.,0,0,0,0,0,NA,V36,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object (V37),no.,0,0,0,0,1,7,V37,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in noncollision transport accident (V38),no.,0,0,0,0,0,NA,V38,Occupant of three-wheeled motor vehicle injured in noncollision transport accident,FALSE,FALSE
Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents (V39),no.,0,0,0,0,0,NA,V39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents,FALSE,FALSE
Car occupant injured in transport accident (V40-V49),no.,0,272,115,86,157,3.7,V40-V49,Car occupant injured in transport accident,FALSE,FALSE
Car occupant injured in collision with pedestrian or animal (V40),no.,0,0,0,1,0,4,V40,Car occupant injured in collision with pedestrian or animal,FALSE,FALSE
Car occupant injured in collision with pedal cycle (V41),no.,0,0,0,0,0,NA,V41,Car occupant injured in collision with pedal cycle,FALSE,FALSE
Car occupant injured in collision with two- or three-wheeled motor vehicle (V42),no.,0,2,0,1,0,2.7,V42,Car occupant injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Car occupant injured in collision with car, pick-up truck or van (V43)",no.,0,111,38,14,37,3.2,V43,"Car occupant injured in collision with car, pick-up truck or van",FALSE,FALSE
Car occupant injured in collision with heavy transport vehicle or bus (V44),no.,0,47,7,9,16,3.2,V44,Car occupant injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Car occupant injured in collision with railway train or railway vehicle (V45),no.,0,1,0,0,0,2,V45,Car occupant injured in collision with railway train or railway vehicle,FALSE,FALSE
Car occupant injured in collision with other nonmotor vehicle (V46),no.,0,0,0,0,0,NA,V46,Car occupant injured in collision with other nonmotor vehicle,FALSE,FALSE
Car occupant injured in collision with fixed or stationary object (V47),no.,0,77,45,41,75,4.2,V47,Car occupant injured in collision with fixed or stationary object,FALSE,FALSE
Car occupant injured in noncollision transport accident (V48),no.,0,25,24,20,26,4.1,V48,Car occupant injured in noncollision transport accident,FALSE,FALSE
Car occupant injured in other and unspecified transport accidents (V49),no.,0,9,1,0,3,3.4,V49,Car occupant injured in other and unspecified transport accidents,FALSE,FALSE
Occupant of pick-up truck or van injured in transport accident (V50-V59),no.,0,7,1,2,0,2.5,V50-V59,Occupant of pick-up truck or van injured in transport accident,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with pedestrian or animal (V50),no.,0,0,0,0,0,NA,V50,Occupant of pick-up truck or van injured in collision with pedestrian or animal,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with pedal cycle (V51),no.,0,0,0,0,0,NA,V51,Occupant of pick-up truck or van injured in collision with pedal cycle,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle (V52),no.,0,0,0,0,0,NA,V52,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van (V53)",no.,0,3,0,1,0,2.5,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",FALSE,FALSE
Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus (V54),no.,0,2,0,0,0,2,V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with railway train or railway vehicle (V55),no.,0,0,0,0,0,NA,V55,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with other nonmotor vehicle (V56),no.,0,0,0,0,0,NA,V56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle,FALSE,FALSE
Occupant of pick-up truck or van injured in collision with fixed or stationary object (V57),no.,0,2,0,1,0,2.7,V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object,FALSE,FALSE
Occupant of pick-up truck or van injured in noncollision transport accident (V58),no.,0,0,1,0,0,3,V58,Occupant of pick-up truck or van injured in noncollision transport accident,FALSE,FALSE
Occupant of pick-up truck or van injured in other and unspecified transport accidents (V59),no.,0,0,0,0,0,NA,V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents,FALSE,FALSE
Occupant of heavy transport vehicle injured in transport accident (V60-V69),no.,0,26,9,8,4,2.9,V60-V69,Occupant of heavy transport vehicle injured in transport accident,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with pedestrian or animal (V60),no.,0,1,0,0,0,2,V60,Occupant of heavy transport vehicle injured in collision with pedestrian or animal,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with pedal cycle (V61),no.,0,0,0,0,0,NA,V61,Occupant of heavy transport vehicle injured in collision with pedal cycle,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle (V62),no.,0,0,0,0,0,NA,V62,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van (V63)",no.,0,3,1,1,0,2.6,V63,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van",FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus (V64),no.,0,12,3,2,2,2.8,V64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle (V65),no.,0,0,1,0,0,3,V65,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle (V66),no.,0,0,0,0,0,NA,V66,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle,FALSE,FALSE
Occupant of heavy transport vehicle injured in collision with fixed or stationary object (V67),no.,0,6,3,2,2,3.2,V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object,FALSE,FALSE
Occupant of heavy transport vehicle injured in noncollision transport accident (V68),no.,0,4,1,2,0,2.7,V68,Occupant of heavy transport vehicle injured in noncollision transport accident,FALSE,FALSE
Occupant of heavy transport vehicle injured in other and unspecified transport accidents (V69),no.,0,0,0,1,0,4,V69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents,FALSE,FALSE
Bus occupant injured in transport accident (V70-V79),no.,0,3,1,0,3,5.4,V70-V79,Bus occupant injured in transport accident,FALSE,FALSE
Bus occupant injured in collision with pedestrian or animal (V70),no.,0,0,0,0,0,NA,V70,Bus occupant injured in collision with pedestrian or animal,FALSE,FALSE
Bus occupant injured in collision with pedal cycle (V71),no.,0,0,0,0,0,NA,V71,Bus occupant injured in collision with pedal cycle,FALSE,FALSE
Bus occupant injured in collision with two- or three-wheeled motor vehicle (V72),no.,0,1,0,0,0,2,V72,Bus occupant injured in collision with two- or three-wheeled motor vehicle,FALSE,FALSE
"Bus occupant injured in collision with car, pick-up truck or van (V73)",no.,0,2,0,0,0,2,V73,"Bus occupant injured in collision with car, pick-up truck or van",FALSE,FALSE
Bus occupant injured in collision with heavy transport vehicle or bus (V74),no.,0,0,0,0,0,NA,V74,Bus occupant injured in collision with heavy transport vehicle or bus,FALSE,FALSE
Bus occupant injured in collision with railway train or railway vehicle (V75),no.,0,0,0,0,0,NA,V75,Bus occupant injured in collision with railway train or railway vehicle,FALSE,FALSE
Bus occupant injured in collision with other nonmotor vehicle (V76),no.,0,0,0,0,0,NA,V76,Bus occupant injured in collision with other nonmotor vehicle,FALSE,FALSE
Bus occupant injured in collision with fixed or stationary object (V77),no.,0,0,0,0,1,5,V77,Bus occupant injured in collision with fixed or stationary object,FALSE,FALSE
Bus occupant injured in noncollision transport accident (V78),no.,0,0,1,0,2,9,V78,Bus occupant injured in noncollision transport accident,FALSE,FALSE
Bus occupant injured in other and unspecified transport accidents (V79),no.,0,0,0,0,0,NA,V79,Bus occupant injured in other and unspecified transport accidents,FALSE,FALSE
Other land transport accidents (V80-V89),no.,0,59,39,9,19,3.3,V80-V89,Other land transport accidents,FALSE,FALSE
Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),no.,0,2,2,0,1,3,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident,FALSE,FALSE
Occupant of railway train or railway vehicle injured in transport accident (V81),no.,0,1,1,1,0,3,V81,Occupant of railway train or railway vehicle injured in transport accident,FALSE,FALSE
Occupant of streetcar injured in transport accident (V82),no.,0,0,0,0,1,12,V82,Occupant of streetcar injured in transport accident,FALSE,FALSE
Occupant of special vehicle mainly used on industrial premises injured in transport accident (V83),no.,0,0,4,1,0,3.2,V83,Occupant of special vehicle mainly used on industrial premises injured in transport accident,FALSE,FALSE
Occupant of special vehicle mainly used in agriculture injured in transport accident (V84),no.,0,5,9,2,5,3.7,V84,Occupant of special vehicle mainly used in agriculture injured in transport accident,FALSE,FALSE
Occupant of special construction vehicle injured in transport accident (V85),no.,0,0,1,0,0,3,V85,Occupant of special construction vehicle injured in transport accident,FALSE,FALSE
"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident (V86)",no.,0,15,14,2,10,4,V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident",FALSE,FALSE
Traffic accident of specified type but victim's mode of transport unknown (V87),no.,0,0,0,0,0,NA,V87,Traffic accident of specified type but victim's mode of transport unknown,FALSE,FALSE
Nontraffic accident of specified type but victim's mode of transport unknown (V88),no.,0,0,0,0,0,NA,V88,Nontraffic accident of specified type but victim's mode of transport unknown,FALSE,FALSE
"Motor- or nonmotor-vehicle accident, type of vehicle unspecified (V89)",no.,0,36,8,3,2,2.4,V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified",FALSE,FALSE
Water transport accidents (V90-V94),no.,0,24,8,5,7,3.2,V90-V94,Water transport accidents,FALSE,FALSE
Accident to watercraft causing drowning and submersion (V90),no.,0,13,3,3,0,2.5,V90,Accident to watercraft causing drowning and submersion,FALSE,FALSE
Accident to watercraft causing other injury (V91),no.,0,5,1,0,0,2.2,V91,Accident to watercraft causing other injury,FALSE,FALSE
Water-transport-related drowning and submersion without accident to watercraft (V92),no.,0,4,2,1,5,4.5,V92,Water-transport-related drowning and submersion without accident to watercraft,FALSE,FALSE
"Accident on board watercraft without accident to watercraft, not causing drowning and submersion (V93)",no.,0,1,2,0,2,3.8,V93,"Accident on board watercraft without accident to watercraft, not causing drowning and submersion",FALSE,FALSE
Other and unspecified water transport accidents (V94),no.,0,1,0,1,0,3,V94,Other and unspecified water transport accidents,FALSE,FALSE
Air and space transport accidents (V95-V97),no.,0,22,6,2,1,2.5,V95-V97,Air and space transport accidents,FALSE,FALSE
Accident to powered aircraft causing injury to occupant (V95),no.,0,18,5,1,1,2.4,V95,Accident to powered aircraft causing injury to occupant,FALSE,FALSE
Accident to nonpowered aircraft causing injury to occupant (V96),no.,0,1,0,1,0,3,V96,Accident to nonpowered aircraft causing injury to occupant,FALSE,FALSE
Other specified air transport accidents (V97),no.,0,3,1,0,0,2.3,V97,Other specified air transport accidents,FALSE,FALSE
Other and unspecified transport accidents (V98-V99),no.,0,0,0,0,0,NA,V98-V99,Other and unspecified transport accidents,FALSE,FALSE
Other specified transport accidents (V98),no.,0,0,0,0,0,NA,V98,Other specified transport accidents,FALSE,FALSE
Unspecified transport accident (V99),no.,0,0,0,0,0,NA,V99,Unspecified transport accident,FALSE,FALSE
Other external causes of accidental injury (W00-X59),no.,0,573,814,976,5369,6.5,W00-X59,Other external causes of accidental injury,FALSE,FALSE
Falls (W00-W19),no.,0,187,345,506,3235,6.9,W00-W19,Falls,FALSE,FALSE
Fall on same level involving ice and snow (W00),no.,0,0,0,0,0,NA,W00,Fall on same level involving ice and snow,FALSE,FALSE
"Fall on same level from slipping, tripping and stumbling (W01)",no.,0,1,19,28,250,7.4,W01,"Fall on same level from slipping, tripping and stumbling",FALSE,FALSE
"Fall involving ice-skates, skis, roller-skates or skateboards (W02)",no.,0,0,0,0,0,NA,W02,"Fall involving ice-skates, skis, roller-skates or skateboards",FALSE,FALSE
"Other fall on same level due to collision with, or pushing by, another person (W03)",no.,0,0,0,0,6,8.2,W03,"Other fall on same level due to collision with, or pushing by, another person",FALSE,FALSE
Fall while being carried or supported by other persons (W04),no.,0,0,0,0,1,8,W04,Fall while being carried or supported by other persons,FALSE,FALSE
Fall involving wheelchair (W05),no.,0,0,0,1,15,8.6,W05,Fall involving wheelchair,FALSE,FALSE
Fall involving bed (W06),no.,0,0,5,4,92,8.4,W06,Fall involving bed,FALSE,FALSE
Fall involving chair (W07),no.,0,1,2,4,46,7.8,W07,Fall involving chair,FALSE,FALSE
Fall involving other furniture (W08),no.,0,0,1,1,8,7.8,W08,Fall involving other furniture,FALSE,FALSE
Fall involving playground equipment (W09),no.,0,0,0,0,0,NA,W09,Fall involving playground equipment,FALSE,FALSE
Fall on and from stairs and steps (W10),no.,0,4,15,10,76,6.8,W10,Fall on and from stairs and steps,FALSE,FALSE
Fall on and from ladder (W11),no.,0,6,5,5,19,5.2,W11,Fall on and from ladder,FALSE,FALSE
Fall on and from scaffolding (W12),no.,0,0,0,0,1,6,W12,Fall on and from scaffolding,FALSE,FALSE
"Fall from, out of or through building or structure (W13)",no.,0,8,5,6,13,4.3,W13,"Fall from, out of or through building or structure",FALSE,FALSE
Fall from tree (W14),no.,0,0,0,0,1,9,W14,Fall from tree,FALSE,FALSE
Fall from cliff (W15),no.,0,6,3,2,2,3.2,W15,Fall from cliff,FALSE,FALSE
Diving or jumping into water causing injury other than drowning or submersion (W16),no.,0,0,1,0,1,5,W16,Diving or jumping into water causing injury other than drowning or submersion,FALSE,FALSE
Other fall from one level to another (W17),no.,0,2,3,6,13,5.6,W17,Other fall from one level to another,FALSE,FALSE
Other fall on same level (W18),no.,0,3,7,15,146,8.6,W18,Other fall on same level,FALSE,FALSE
Unspecified fall (W19),no.,0,156,279,424,2545,6.7,W19,Unspecified fall,FALSE,FALSE
Exposure to inanimate mechanical forces (W20-W49),no.,0,19,36,16,31,4.5,W20-W49,Exposure to inanimate mechanical forces,FALSE,FALSE
"Struck by thrown, projected or falling object (W20)",no.,0,7,16,4,5,3.5,W20,"Struck by thrown, projected or falling object",FALSE,FALSE
Striking against or struck by sports equipment (W21),no.,0,1,0,0,0,2,W21,Striking against or struck by sports equipment,FALSE,FALSE
Striking against or struck by other objects (W22),no.,0,0,1,2,3,5,W22,Striking against or struck by other objects,FALSE,FALSE
"Caught, crushed, jammed or pinched in or between objects (W23)",no.,0,2,5,1,6,4.4,W23,"Caught, crushed, jammed or pinched in or between objects",FALSE,FALSE
"Contact with lifting and transmission devices, not elsewhere classified (W24)",no.,0,0,5,3,4,6.1,W24,"Contact with lifting and transmission devices, not elsewhere classified",FALSE,FALSE
Contact with sharp glass (W25),no.,0,1,1,0,4,6.2,W25,Contact with sharp glass,FALSE,FALSE
"Contact with knife, sword or dagger (W26)",no.,0,0,1,0,0,3,W26,"Contact with knife, sword or dagger",FALSE,FALSE
Contact with nonpowered hand tool (W27),no.,0,0,0,1,0,4,W27,Contact with nonpowered hand tool,FALSE,FALSE
Contact with powered lawnmower (W28),no.,0,2,0,0,0,2,W28,Contact with powered lawnmower,FALSE,FALSE
Contact with other powered hand tools and household machinery (W29),no.,0,1,0,1,0,3,W29,Contact with other powered hand tools and household machinery,FALSE,FALSE
Contact with agricultural machinery (W30),no.,0,0,2,1,0,3.3,W30,Contact with agricultural machinery,FALSE,FALSE
Contact with other and unspecified machinery (W31),no.,0,4,3,1,4,4.1,W31,Contact with other and unspecified machinery,FALSE,FALSE
Handgun discharge (W32),no.,0,0,0,0,0,NA,W32,Handgun discharge,FALSE,FALSE
"Rifle, shotgun and larger firearm discharge (W33)",no.,0,1,0,1,0,3,W33,"Rifle, shotgun and larger firearm discharge",FALSE,FALSE
Discharge from other and unspecified firearms (W34),no.,0,0,0,0,0,NA,W34,Discharge from other and unspecified firearms,FALSE,FALSE
Explosion and rupture of boiler (W35),no.,0,0,0,0,0,NA,W35,Explosion and rupture of boiler,FALSE,FALSE
Explosion and rupture of gas cylinder (W36),no.,0,0,0,0,0,NA,W36,Explosion and rupture of gas cylinder,FALSE,FALSE
"Explosion and rupture of pressurized tyre, pipe or hose (W37)",no.,0,0,0,0,0,NA,W37,"Explosion and rupture of pressurized tyre, pipe or hose",FALSE,FALSE
Explosion and rupture of other specified pressurized devices (W38),no.,0,0,0,0,0,NA,W38,Explosion and rupture of other specified pressurized devices,FALSE,FALSE
Discharge of firework (W39),no.,0,0,0,0,0,NA,W39,Discharge of firework,FALSE,FALSE
Explosion of other materials (W40),no.,0,0,2,1,0,3.3,W40,Explosion of other materials,FALSE,FALSE
Exposure to high-pressure jet (W41),no.,0,0,0,0,0,NA,W41,Exposure to high-pressure jet,FALSE,FALSE
Exposure to noise (W42),no.,0,0,0,0,0,NA,W42,Exposure to noise,FALSE,FALSE
Exposure to vibration (W43),no.,0,0,0,0,0,NA,W43,Exposure to vibration,FALSE,FALSE
Foreign body entering into or through eye or natural orifice (W44),no.,0,0,0,0,3,10,W44,Foreign body entering into or through eye or natural orifice,FALSE,FALSE
Foreign body or object entering through skin (W45),no.,0,0,0,0,0,NA,W45,Foreign body or object entering through skin,FALSE,FALSE
Contact with hypodermic needle (W46),no.,0,0,0,0,2,8.5,W46,Contact with hypodermic needle,FALSE,FALSE
Exposure to other and unspecified inanimate mechanical forces (W49),no.,0,0,0,0,0,NA,W49,Exposure to other and unspecified inanimate mechanical forces,FALSE,FALSE
Exposure to animate mechanical forces (W50-W64),no.,0,7,3,1,6,3.8,W50-W64,Exposure to animate mechanical forces,FALSE,FALSE
"Hit, struck, kicked, twisted, bitten or scratched by another person (W50)",no.,0,1,0,0,1,3.5,W50,"Hit, struck, kicked, twisted, bitten or scratched by another person",FALSE,FALSE
Striking against or bumped into by another person (W51),no.,0,0,0,0,1,6,W51,Striking against or bumped into by another person,FALSE,FALSE
"Crushed, pushed or stepped on by crowd or human stampede (W52)",no.,0,0,0,0,0,NA,W52,"Crushed, pushed or stepped on by crowd or human stampede",FALSE,FALSE
Bitten by rat (W53),no.,0,0,0,0,0,NA,W53,Bitten by rat,FALSE,FALSE
Bitten or struck by dog (W54),no.,0,0,0,1,2,6.7,W54,Bitten or struck by dog,FALSE,FALSE
Bitten or struck by other mammals (W55),no.,0,2,3,0,2,3.3,W55,Bitten or struck by other mammals,FALSE,FALSE
Contact with marine animal (W56),no.,0,2,0,0,0,2,W56,Contact with marine animal,FALSE,FALSE
Bitten or stung by nonvenomous insect and other nonvenomous arthropods (W57),no.,0,0,0,0,0,NA,W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods,FALSE,FALSE
Bitten or struck by crocodile or alligator (W58),no.,0,2,0,0,0,2,W58,Bitten or struck by crocodile or alligator,FALSE,FALSE
Bitten or crushed by other reptiles (W59),no.,0,0,0,0,0,NA,W59,Bitten or crushed by other reptiles,FALSE,FALSE
Contact with plant thorns and spines and sharp leaves (W60),no.,0,0,0,0,0,NA,W60,Contact with plant thorns and spines and sharp leaves,FALSE,FALSE
Exposure to other and unspecified animate mechanical forces (W64),no.,0,0,0,0,0,NA,W64,Exposure to other and unspecified animate mechanical forces,FALSE,FALSE
Accidental drowning and submersion (W65-W74),no.,0,95,52,27,56,3.6,W65-W74,Accidental drowning and submersion,FALSE,FALSE
Drowning and submersion while in bath-tub (W65),no.,0,1,3,2,6,5.8,W65,Drowning and submersion while in bath-tub,FALSE,FALSE
Drowning and submersion following fall into bath-tub (W66),no.,0,0,1,0,1,7,W66,Drowning and submersion following fall into bath-tub,FALSE,FALSE
Drowning and submersion while in swimming-pool (W67),no.,0,4,3,3,13,5.1,W67,Drowning and submersion while in swimming-pool,FALSE,FALSE
Drowning and submersion following fall into swimming-pool (W68),no.,0,4,5,1,5,3.8,W68,Drowning and submersion following fall into swimming-pool,FALSE,FALSE
Drowning and submersion while in natural water (W69),no.,0,57,25,15,22,3.2,W69,Drowning and submersion while in natural water,FALSE,FALSE
Drowning and submersion following fall into natural water (W70),no.,0,16,9,2,7,3.3,W70,Drowning and submersion following fall into natural water,FALSE,FALSE
Other specified drowning and submersion (W73),no.,0,3,1,1,0,2.6,W73,Other specified drowning and submersion,FALSE,FALSE
Unspecified drowning and submersion (W74),no.,0,10,5,3,2,3,W74,Unspecified drowning and submersion,FALSE,FALSE
Other accidental threats to breathing (W75-W84),no.,0,40,68,49,98,4.4,W75-W84,Other accidental threats to breathing,FALSE,FALSE
Accidental suffocation and strangulation in bed (W75),no.,0,0,2,0,4,5.3,W75,Accidental suffocation and strangulation in bed,FALSE,FALSE
Other accidental hanging and strangulation (W76),no.,0,1,3,4,3,4.8,W76,Other accidental hanging and strangulation,FALSE,FALSE
"Threat to breathing due to cave-in, falling earth and other substances (W77)",no.,0,0,0,0,0,NA,W77,"Threat to breathing due to cave-in, falling earth and other substances",FALSE,FALSE
Inhalation of gastric contents (W78),no.,0,0,0,1,1,6,W78,Inhalation of gastric contents,FALSE,FALSE
Inhalation and ingestion of food causing obstruction of respiratory tract (W79),no.,0,18,20,20,42,4.6,W79,Inhalation and ingestion of food causing obstruction of respiratory tract,FALSE,FALSE
Inhalation and ingestion of other objects causing obstruction of respiratory tract (W80),no.,0,20,43,22,46,4.1,W80,Inhalation and ingestion of other objects causing obstruction of respiratory tract,FALSE,FALSE
Confined to or trapped in a low-oxygen environment (W81),no.,0,1,0,2,1,3.8,W81,Confined to or trapped in a low-oxygen environment,FALSE,FALSE
Other specified threats to breathing (W83),no.,0,0,0,0,1,7,W83,Other specified threats to breathing,FALSE,FALSE
Unspecified threat to breathing (W84),no.,0,0,0,0,0,NA,W84,Unspecified threat to breathing,FALSE,FALSE
"Exposure to electric current, radiation and extreme ambient air temperature and pressure (W85-W99)",no.,0,3,4,1,2,3.3,W85-W99,"Exposure to electric current, radiation and extreme ambient air temperature and pressure",FALSE,FALSE
Exposure to electric transmission lines (W85),no.,0,0,2,0,1,4,W85,Exposure to electric transmission lines,FALSE,FALSE
Exposure to other specified electric current (W86),no.,0,2,1,0,1,3,W86,Exposure to other specified electric current,FALSE,FALSE
Exposure to unspecified electric current (W87),no.,0,1,1,1,0,3,W87,Exposure to unspecified electric current,FALSE,FALSE
Exposure to ionizing radiation (W88),no.,0,0,0,0,0,NA,W88,Exposure to ionizing radiation,FALSE,FALSE
Exposure to man-made visible and ultraviolet light (W89),no.,0,0,0,0,0,NA,W89,Exposure to man-made visible and ultraviolet light,FALSE,FALSE
Exposure to other nonionizing radiation (W90),no.,0,0,0,0,0,NA,W90,Exposure to other nonionizing radiation,FALSE,FALSE
Exposure to unspecified type of radiation (W91),no.,0,0,0,0,0,NA,W91,Exposure to unspecified type of radiation,FALSE,FALSE
Exposure to excessive heat of man-made origin (W92),no.,0,0,0,0,0,NA,W92,Exposure to excessive heat of man-made origin,FALSE,FALSE
Exposure to excessive cold of man-made origin (W93),no.,0,0,0,0,0,NA,W93,Exposure to excessive cold of man-made origin,FALSE,FALSE
Exposure to high and low air pressure and changes in air pressure (W94),no.,0,0,0,0,0,NA,W94,Exposure to high and low air pressure and changes in air pressure,FALSE,FALSE
Exposure to other and unspecified man-made environmental factors (W99),no.,0,0,0,0,0,NA,W99,Exposure to other and unspecified man-made environmental factors,FALSE,FALSE
"Exposure to smoke, fire and flames (X00-X09)",no.,0,17,11,14,31,4.6,X00-X09,"Exposure to smoke, fire and flames",FALSE,FALSE
Exposure to uncontrolled fire in building or structure (X00),no.,0,11,8,13,27,4.7,X00,Exposure to uncontrolled fire in building or structure,FALSE,FALSE
